segment_num,segment_size,hit_throughput,miss_throughput,hit_downloadTime,miss_downloadTime
1,191109,1925834.722602,1501081.107579,0.793875,1.018514
2,225202,1954259.437391,872612.226723,0.921892,2.064624
3,213970,1899779.719088,1226870.804749,0.901031,1.395224
4,238423,1916795.450747,1406929.940714,0.995090,1.355706
5,240115,1852689.090088,1447278.972521,1.036828,1.327263
6,278055,1916823.938325,1240971.523394,1.160482,1.792499
7,227073,1871995.790214,1322260.768303,0.970400,1.373847
8,254460,1927675.927052,1510478.784280,1.056028,1.347705
9,241210,1933282.632775,1063260.939006,0.998137,1.814870
10,154716,1863571.667503,1111894.473907,0.664170,1.113170
11,194857,1887122.169879,1204156.987415,0.826049,1.294562
12,240159,1951353.889908,1635213.763421,0.984584,1.174936
13,244025,1897059.015277,1618260.914612,1.029067,1.206357
14,260712,1920675.077428,1570074.096361,1.085918,1.328406
15,197267,1897656.144462,1530396.844252,0.831624,1.031194
16,272580,1893695.885910,1549816.796968,1.151526,1.407031
17,262581,1965510.879427,1472492.541904,1.068754,1.426593
18,241342,1950917.274101,1476412.895609,0.989655,1.307721
19,231200,1908007.923052,1613811.321207,0.969388,1.146107
20,258741,1924108.232158,1539465.910292,1.075786,1.344575
21,252156,1905024.568990,1490094.426386,1.058909,1.353772
22,248728,1933918.711325,1249126.010096,1.028908,1.592973
23,234854,1916056.255558,1463819.105664,0.980572,1.283514
24,258476,1969183.650885,1505392.336977,1.050084,1.373601
25,247165,1904144.674749,1497643.003296,1.038429,1.320288
26,241118,1932347.246190,1525495.936508,0.998239,1.264470
27,264715,1937675.247954,1536388.006920,1.092918,1.378376
28,261843,1848987.157500,1617012.385665,1.132914,1.295441
29,253532,1739855.065391,1488158.534594,1.165761,1.362930
30,261635,1617167.519856,1112954.472554,1.294288,1.880652
31,258285,1769955.478323,1448999.726659,1.167419,1.426004
32,212173,1742472.718304,1365654.595445,0.974124,1.242909
33,263100,1720938.680798,1419829.601104,1.223053,1.482431
34,244717,1736734.536119,1345834.924920,1.127251,1.454663
35,260349,1757051.762594,1395675.577142,1.185390,1.492318
36,221759,1754310.459992,1423987.039989,1.011265,1.245848
37,249369,1722356.839165,1349000.805200,1.158269,1.478837
38,255203,1768017.238700,1399955.255681,1.154753,1.458349
39,263523,1738714.812767,1383640.662577,1.212496,1.523650
40,249101,1772465.213264,1450767.143310,1.124314,1.373624
41,284221,1761143.570545,1421760.575980,1.291075,1.599262
42,223937,1734422.580861,1378055.952590,1.032906,1.300017
43,236128,1791588.146762,1149507.934234,1.054385,1.643333
44,270442,1722630.756177,1415118.446346,1.255949,1.528873
45,242801,1722188.712436,1384795.026944,1.127872,1.402668
46,274138,1746327.600160,1448627.614457,1.255838,1.513918
47,260836,1742993.303244,1527845.047642,1.197186,1.365772
48,247131,1733145.855542,1412307.164983,1.140728,1.399871
49,256498,1744261.442719,1373169.721361,1.176420,1.494341
50,215494,1748196.570279,1441084.290048,0.986132,1.196288
51,221454,1751786.540713,1377898.841113,1.011329,1.285749
52,269670,1797543.502191,1467242.228342,1.200171,1.470350
53,219193,1887840.573505,1448221.107263,0.928862,1.210826
54,259852,1952159.624556,1328618.876021,1.064880,1.564644
55,238477,1881745.794697,1453463.468801,1.013854,1.312600
56,217427,1902005.752304,1317188.221427,0.914517,1.320552
57,246637,1940845.775335,1613067.946317,1.016617,1.223195
58,261690,1961870.885352,1506263.730245,1.067104,1.389876
59,259796,1915345.717028,1559153.585949,1.085114,1.333010
60,252899,1959389.846490,1479015.466500,1.032562,1.367932
61,245825,1934431.454393,1606786.384938,1.016629,1.223934
62,186854,1838552.916240,1483351.184706,0.813048,1.007740
63,256391,1935278.987253,1284001.937694,1.059862,1.597449
64,220287,1964279.967894,1268832.040885,0.897171,1.388912
65,255776,1937820.358502,1127428.611938,1.055933,1.814934
66,259809,1929282.655196,1260876.562581,1.077329,1.648434
67,251650,1965756.708841,1210340.274245,1.024135,1.663334
68,224653,1919384.372458,1054909.805907,0.936354,1.703676
69,260168,1875822.994658,1593563.211966,1.109563,1.306094
70,236894,1834695.001450,1085401.966326,1.032952,1.746037
71,249191,1919905.377277,1213160.146493,1.038347,1.643252
72,249050,1925292.314157,1377361.411774,1.034856,1.446534
73,250991,1923392.892535,1071550.590967,1.043951,1.873853
74,215218,1877543.770120,1259901.142305,0.917019,1.366571
75,217052,1912506.607449,1376632.022950,0.907927,1.261351
76,270036,1907573.320461,1479311.075497,1.132480,1.460334
77,204173,1920089.216174,1293108.409778,0.850681,1.263145
78,237477,1928845.457450,1220260.475599,0.984950,1.556894
79,269354,1976053.572604,1545230.190038,1.090472,1.394506
80,256148,1936183.520317,1485244.525214,1.058362,1.379695
81,258158,1925200.014636,1225365.477538,1.072753,1.685427
82,265233,1957797.177491,1394785.929848,1.083802,1.521283
83,232844,1925529.632505,1278520.317629,0.967397,1.456959
84,270274,1950276.395579,1566797.817128,1.108659,1.380007
85,259052,2056840.753387,1534545.548001,1.007572,1.350508
86,249926,1982233.198964,1480481.707608,1.008664,1.350512
87,159527,1954254.483426,1345242.057583,0.653045,0.948689
88,241208,2045028.603489,1593901.170427,0.943588,1.210655
89,272736,2114095.181960,1782450.778531,1.032067,1.224094
90,225638,2147228.916866,1557439.336524,0.840667,1.159020
91,257203,2128889.948042,1538016.386824,0.966524,1.337843
92,258222,2122975.775318,1500788.118380,0.973057,1.376461
93,265692,1913667.236989,1431186.510197,1.110713,1.485157
94,245874,1931517.106248,1484528.621700,1.018366,1.324994
95,258230,1930139.061915,1276948.140233,1.070306,1.617795
96,242281,1918588.241425,1462803.094780,1.010247,1.325023
97,246426,1937126.486848,1637496.528932,1.017697,1.203916
98,270480,1944086.957018,1637323.925196,1.113037,1.321571
99,261447,1986058.767648,1455188.957494,1.053129,1.437323
100,254128,1937223.817246,1507068.859770,1.049452,1.348992
101,244155,1701554.372482,1434587.124316,1.147915,1.361535
102,211525,1755854.532662,1312277.272662,0.963747,1.289514
103,256262,1726547.768846,1407820.101932,1.187396,1.456220
104,263036,1767208.729810,1425679.671593,1.190741,1.475989
105,212154,1765553.636704,1409730.644324,0.961303,1.203941
106,241031,1738394.212887,1535172.714112,1.109212,1.256046
107,243001,1751878.378692,1388113.479044,1.109671,1.400468
108,235459,1791764.639086,1352392.464152,1.051294,1.392844
109,266699,1545566.210961,1026552.031682,1.380460,2.078406
110,238567,1601593.750577,1012503.107266,1.191648,1.884968
111,251815,1590936.687602,1026543.621778,1.266248,1.962430
112,261124,1595743.896455,1269444.733633,1.309102,1.645595
113,253227,1484482.464386,763953.726296,1.364661,2.651752
114,258331,1582634.334536,805616.426056,1.305828,2.565300
115,233426,1584164.826448,1285098.189345,1.178797,1.453125
116,262818,1584929.660582,1137031.699899,1.326585,1.849152
117,277051,1573054.917815,1271671.008038,1.408983,1.742910
118,213939,1560965.992939,1216024.983111,1.096444,1.407465
119,268747,1559101.781850,1321737.845341,1.378984,1.626628
120,237240,1591780.928967,1312710.027442,1.192325,1.445803
121,276599,1549127.325332,1207717.570981,1.428412,1.832210
122,240414,1537183.920370,1317554.690966,1.251192,1.459759
123,254083,1560515.141011,1255201.276556,1.302560,1.619393
124,254081,1608272.394919,1257439.605744,1.263870,1.616498
125,192099,1525739.737114,1007977.128898,1.007244,1.524630
126,205947,1577175.305385,1226220.772773,1.044637,1.343621
127,232567,1535453.770331,1207057.918915,1.211717,1.541381
128,249663,1564278.323714,1320582.529339,1.276821,1.512442
129,232217,1596134.968328,1364771.827319,1.163897,1.361206
130,221467,1591956.964490,1312828.841771,1.112930,1.349556
131,218126,1621602.335758,1293014.215100,1.076101,1.349566
132,231262,1577581.256135,1291121.100810,1.172742,1.432938
133,209231,1640050.318833,1362299.076279,1.020608,1.228693
134,268466,1783183.529185,1459161.761148,1.204435,1.471892
135,223367,1742397.175263,1347953.940968,1.025562,1.325665
136,256932,1767500.690423,1393496.921179,1.162917,1.475034
137,229140,1812280.714422,794188.067782,1.011499,2.308169
138,220167,1749635.482903,890931.019355,1.006687,1.976961
139,239855,1718384.529318,981700.696902,1.116653,1.954608
140,226997,1744843.223815,886604.600494,1.040767,2.048237
141,247022,1246066.584731,1423319.306488,1.585931,1.388428
142,260758,767569.134881,1384192.374093,2.717754,1.507062
143,249392,1343254.719028,1441540.402416,1.485300,1.384031
144,258069,937664.281994,1583606.576625,2.201803,1.303703
145,267777,885417.578409,1650594.177129,2.419441,1.297845
146,226076,818606.820601,1619986.351537,2.209373,1.116434
147,265289,767714.475944,1338911.875165,2.764455,1.585102
148,258925,1623292.934295,1482658.840049,1.276048,1.397085
149,241560,1746296.034055,1475785.070600,1.106616,1.309459
150,255431,1772479.453086,1339096.159873,1.152875,1.525990
151,270278,1751488.736658,1534188.641942,1.234506,1.409360
152,233916,1748955.443558,1458595.005847,1.069969,1.282966
153,245854,1636333.713038,1382394.435516,1.201975,1.422772
154,254094,1215011.143985,1361154.177913,1.673032,1.493403
155,253254,981744.983856,1378890.189088,2.063705,1.469321
156,260161,1178586.990240,1419492.394767,1.765918,1.466220
157,269374,1909924.224951,1527269.606259,1.128313,1.411010
158,250604,1954954.444612,1391991.563655,1.025513,1.440262
159,257702,1713820.959894,1046977.056616,1.202935,1.969113
160,236375,1196784.934996,1245595.870832,1.580067,1.518149
161,267813,1925290.180830,1225856.053448,1.112821,1.747761
162,247351,1904873.037027,1344734.194613,1.038814,1.471524
163,265489,1334311.202126,1329346.129864,1.591767,1.597712
164,248606,1269493.147049,1611269.672252,1.566647,1.234336
165,269304,1532608.027354,1543466.377729,1.405729,1.395840
166,232366,1434707.735590,1600602.464614,1.295684,1.161393
167,240766,1199919.494334,1483615.913790,1.605214,1.298266
168,229837,1190706.679152,1260885.941178,1.544206,1.458257
169,261839,1319265.187890,1423738.493388,1.587787,1.471276
170,258168,1141076.774731,1560237.810510,1.809996,1.323737
171,258780,1046806.242943,1243025.197720,1.977673,1.665485
172,235232,1432606.548875,1387719.678094,1.313589,1.356078
173,252488,1860058.749035,1032596.449503,1.085936,1.956141
174,243922,1936473.529274,832325.129024,1.007696,2.344488
175,273093,1980111.435808,1400911.392862,1.103344,1.559516
176,225983,1879001.496132,918519.057694,0.962141,1.968238
177,261461,1970592.276626,1020952.480302,1.061451,2.048761
178,248290,1905721.196699,1137771.103771,1.042293,1.745799
179,232429,1922172.118390,1466145.757905,0.967360,1.268245
180,250905,1293906.106760,1318962.530160,1.551303,1.521832
181,243476,2049896.080146,1449369.782211,0.950198,1.343900
182,251183,1942041.072890,1468096.591476,1.034718,1.368755
183,239684,1061619.998430,1293882.288468,1.806175,1.481952
184,237193,1627539.481457,1389824.106441,1.165897,1.365312
185,276494,1186964.615771,1424214.866696,1.863537,1.553103
186,268452,1459975.574446,1583479.189068,1.470994,1.356264
187,233834,1304460.533642,1389597.132080,1.434058,1.346197
188,261062,1166428.665066,1353818.808707,1.790505,1.542670
189,268376,2082096.856910,1374826.069353,1.031176,1.561658
190,205402,2087877.224317,1112184.704183,0.787027,1.477467
191,164365,1141925.396360,1198615.043671,1.151494,1.097033
