segNum	size	Hit	buffer	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	678560	-1	4171	358494	1825806.193810	0.371650	0.371650	1	-0.037165	93.000000
2	4072600	-1	8342	1004533	1792565.266153	2.271940	2.271940	1	0.746611	95.000000
3	2934264	-1	10925	1004533	1847832.230699	1.587949	1.587949	1	0.988534	96.000000
4	1240400	-1	14279	1004533	1519560.878240	0.816288	0.816288	1	0.988534	96.000000
5	2045768	-1	17058	1004533	1469219.074615	1.392419	1.392419	1	0.988534	97.000000
6	3220344	-1	19076	1004533	1495852.700906	2.152848	2.152848	1	0.988534	99.000000
7	4183920	-1	20927	1004533	1803499.143895	2.319890	2.319890	1	0.988534	101.000000
8	4343008	-1	22509	1004533	1677403.084327	2.589126	2.589126	1	0.988534	103.000000
9	3762424	-1	24031	1004533	1420284.902658	2.649063	2.649063	1	0.988534	105.000000
10	3943400	-1	25781	1004533	1629222.435074	2.420418	2.420418	1	0.988534	107.000000
11	3766160	-1	27769	1004533	1724821.165161	2.183508	2.183508	1	0.988534	109.000000
12	2300832	-1	28622	1004533	1670756.574781	1.377120	1.377120	1	0.988534	110.000000
13	3994840	-1	27997	1004533	1994743.878578	2.002683	2.002683	1	0.988534	112.000000
14	3710232	-1	27438	1004533	1448312.068941	2.561763	2.561763	1	0.988534	114.000000
15	3727696	-1	27291	1004533	1376475.839425	2.708145	2.708145	1	0.988534	116.000000
16	3589592	-1	27788	1004533	1623458.191034	2.211078	2.211078	1	0.988534	118.000000
17	4075864	-1	27516	1004533	1641010.284899	2.483753	2.483753	1	0.988534	120.000000
18	3811464	-1	27690	1004533	1650518.700867	2.309252	2.309252	1	0.988534	122.000000
19	4182416	-1	27029	1004533	1407893.311756	2.970691	2.970691	1	0.988534	124.000000
20	4295680	-1	26520	1004533	1234574.040036	3.479483	3.479483	1	0.988534	127.000000
21	3987336	-1	27445	1004533	1561198.047462	2.554023	2.554023	1	0.988534	129.000000
22	4159704	-1	26956	1004533	1366586.319114	3.043865	3.043865	1	0.988534	132.000000
23	4230232	-1	27757	1004533	1886066.476741	2.242886	2.242886	1	0.988534	134.000000
24	4236328	-1	27492	1004533	1689535.017946	2.507393	2.507393	1	0.988534	136.000000
25	4714504	-1	27529	1004533	1908497.939283	2.470269	2.470269	1	0.988534	138.000000
