segNum	size	Hit	buffer	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	1304992	-1	4171	321054	1892643.356640	0.689508	0.689508	1	-0.068951	0.000000
2	6404960	-1	8342	1771903	1736423.118066	3.688594	3.688594	1	0.604946	3.000000
3	7634416	-1	6793	1771903	1334689.490821	5.719994	5.719994	1	0.992945	8.000000
4	3056816	-1	8885	889918	1470518.387431	2.078734	2.078734	1	0.984123	10.000000
5	616904	-1	12734	889918	1916331.668330	0.321919	0.321919	1	0.988534	10.000000
6	2347568	-1	15690	889918	1933090.563272	1.214412	1.214412	1	0.988534	11.000000
7	3922512	-1	17652	889918	1775483.296101	2.209264	2.209264	1	0.988534	13.000000
8	3075680	-1	20266	889918	1975237.238569	1.557119	1.557119	1	0.988534	14.000000
9	6175328	-1	21414	1771903	2042971.882397	3.022718	3.022718	1	0.988534	17.000000
10	5758112	-1	22347	1771903	1778319.632151	3.237951	3.237951	1	0.992945	20.000000
11	5955608	-1	23368	1771903	1890725.548530	3.149906	3.149906	1	0.992945	23.000000
12	6694744	-1	24176	1771903	1990318.369470	3.363655	3.363655	1	0.992945	26.000000
13	6606656	-1	25072	1771903	2017379.205665	3.274871	3.274871	1	0.992945	29.000000
14	7160608	-1	25659	1771903	1998202.081428	3.583525	3.583525	1	0.992945	32.000000
15	7256456	-1	26322	1771903	2068035.277680	3.508865	3.508865	1	0.992945	35.000000
16	7842176	-1	26203	1771903	2065516.737002	3.796714	3.796714	1	0.992945	38.000000
17	6694600	-1	26499	1771903	1912488.527334	3.500465	3.500465	1	0.992945	41.000000
18	6461952	-1	25954	1771903	1597345.578581	4.045431	4.045431	1	0.992945	45.000000
19	6740728	-1	26628	1771903	1999290.214644	3.371561	3.371561	1	0.992945	48.000000
20	6485416	-1	27728	1771903	2854641.212651	2.271885	2.271885	1	0.992945	50.000000
21	6959368	-1	27637	1771903	2945330.127834	2.362848	2.362848	1	0.992945	52.000000
22	6821920	-1	27664	1771903	2920508.799057	2.335867	2.335867	1	0.992945	54.000000
23	6705040	-1	27408	1771903	2587385.574652	2.591434	2.591434	1	0.992945	56.000000
24	9707560	-1	26659	2565293	2906186.855414	3.340308	3.340308	1	0.992945	59.000000
25	10059400	-1	26919	2565293	3265031.885622	3.080950	3.080950	1	0.994948	62.000000
26	9957512	-1	25839	2565293	2393630.596439	4.160004	4.160004	1	0.994948	66.000000
27	9661528	-1	25060	2565293	1956140.717903	4.939076	4.939076	1	0.994948	70.000000
28	6536976	-1	24370	1771903	1344737.047235	4.861156	4.861156	1	0.990942	74.000000
29	7463880	-1	24220	1771903	1727334.419330	4.321039	4.321039	1	0.992945	78.000000
30	6755264	-1	25962	1771903	2780433.113030	2.429573	2.429573	1	0.992945	80.000000
31	8244832	-1	26372	1771903	2273147.510942	3.627055	3.627055	1	0.992945	83.000000
32	7753304	-1	26409	1771903	2159171.316031	3.590870	3.590870	1	0.992945	86.000000
33	5831056	-1	27515	1771903	2347109.197083	2.484357	2.484357	1	0.992945	88.000000
34	7645184	-1	27052	1771903	2593388.905394	2.947951	2.947951	1	0.992945	90.000000
35	7030320	-1	27486	1771903	2797328.210759	2.513227	2.513227	1	0.992945	92.000000
36	7625560	-1	27094	1771903	2624400.896827	2.905638	2.905638	1	0.992945	94.000000
37	7793856	-1	26330	1771903	2123728.536762	3.669893	3.669893	1	0.992945	97.000000
38	6929136	-1	24645	1771903	1294029.490897	5.354697	5.354697	1	0.992945	102.000000
39	7477032	-1	22270	1771903	1142216.921835	6.546070	6.546070	1	0.992945	108.000000
40	3359072	-1	23782	889918	1263342.698408	2.658876	2.658876	1	0.984123	110.000000
41	3967024	-1	24941	889918	1317270.958112	3.011547	3.011547	1	0.988534	113.000000
42	3358744	-1	26257	889918	1176280.458524	2.855394	2.855394	1	0.988534	115.000000
43	3288504	-1	26625	889918	974451.730874	3.374722	3.374722	1	0.988534	118.000000
44	3324544	-1	28579	889918	2340845.327692	1.420232	1.420232	1	0.988534	119.000000
45	3466272	-1	28590	889918	2458777.261728	1.409754	1.409754	1	0.988534	120.000000
46	3746632	-1	28356	889918	2279804.131010	1.643401	1.643401	1	0.988534	121.000000
47	3221856	-1	28440	889918	2065667.598857	1.559717	1.559717	1	0.988534	122.000000
48	6322224	-1	24881	1771903	1235177.959219	5.118472	5.118472	1	0.988534	127.000000
49	6433528	-1	24306	1771903	1355565.990799	4.746009	4.746009	1	0.992945	131.000000
50	3451448	-1	24519	889918	872000.949635	3.958078	3.958078	1	0.984123	134.000000
51	3477544	-1	26437	889918	1543251.135913	2.253388	2.253388	1	0.988534	136.000000
52	3617536	-1	28291	889918	2117089.625206	1.708731	1.708731	1	0.988534	137.000000
53	3098224	-1	27934	889918	1499996.419578	2.065488	2.065488	1	0.988534	139.000000
54	3466208	-1	28054	889918	1782053.944216	1.945063	1.945063	1	0.988534	140.000000
55	3101336	-1	28297	889918	1821527.538109	1.702602	1.702602	1	0.988534	141.000000
56	3332360	-1	27926	889918	1607140.165221	2.073472	2.073472	1	0.988534	143.000000
57	3664880	-1	27057	889918	1245698.650131	2.942028	2.942028	1	0.988534	145.000000
58	3555200	-1	27566	889918	1460800.326824	2.433734	2.433734	1	0.988534	147.000000
59	3360512	-1	27772	889918	1508674.314943	2.227460	2.227460	1	0.988534	149.000000
60	3773552	-1	27063	889918	1284945.432281	2.936741	2.936741	1	0.988534	151.000000
61	3001024	-1	26894	889918	966249.613831	3.105848	3.105848	1	0.988534	154.000000
62	3355928	-1	27956	889918	1641855.822917	2.043985	2.043985	1	0.988534	156.000000
63	3945880	-1	28112	889918	2090509.016899	1.887521	1.887521	1	0.988534	157.000000
64	3686888	-1	28060	889918	1900544.359149	1.939912	1.939912	1	0.988534	158.000000
65	3526936	-1	28158	889918	1915436.782898	1.841322	1.841322	1	0.988534	159.000000
66	3241536	-1	28463	889918	2110028.705101	1.536252	1.536252	1	0.988534	160.000000
67	7842304	-1	27042	1771903	2651816.981285	2.957332	2.957332	1	0.988534	162.000000
68	7336944	-1	26840	1771903	2322143.210794	3.159557	3.159557	1	0.992945	165.000000
69	8182408	-1	25442	1771903	1795339.438502	4.557583	4.557583	1	0.992945	169.000000
70	6895024	-1	26349	1771903	2112482.060158	3.263944	3.263944	1	0.992945	172.000000
71	6733528	-1	26857	1771903	2142826.751574	3.142358	3.142358	1	0.992945	175.000000
72	6485744	-1	26941	1771903	2120712.117313	3.058286	3.058286	1	0.992945	178.000000
73	6539064	-1	26999	1771903	2179495.564900	3.000265	3.000265	1	0.992945	181.000000
74	6575016	-1	27232	1771903	2375985.826934	2.767279	2.767279	1	0.992945	183.000000
75	7705240	-1	26574	1771903	2249646.979410	3.425089	3.425089	1	0.992945	186.000000
76	6001560	-1	28102	1771903	3163118.291495	1.897356	1.897356	1	0.992945	187.000000
77	6822152	-1	28461	1771903	4434404.777267	1.538459	1.538459	1	0.992945	188.000000
78	11141752	-1	23958	2565293	1844326.923798	6.041094	6.041094	1	0.992945	194.000000
79	7512632	-1	22251	1771903	1277898.252070	5.878897	5.878897	1	0.990942	199.000000
80	7187480	-1	22465	1771903	1816772.873077	3.956180	3.956180	1	0.992945	202.000000
81	6780672	-1	23581	1771903	2219214.553527	3.055438	3.055438	1	0.992945	205.000000
82	6996848	-1	24326	1771903	2042148.397797	3.426219	3.426219	1	0.992945	208.000000
83	7177336	-1	25242	1771903	2204956.115604	3.255092	3.255092	1	0.992945	211.000000
84	6691432	-1	26799	1771903	2559836.598823	2.614007	2.614007	1	0.992945	213.000000
85	6359504	-1	27384	1771903	2431206.109755	2.615782	2.615782	1	0.992945	215.000000
86	6963168	-1	25354	1771903	1498890.124285	4.645549	4.645549	1	0.992945	219.000000
87	6155480	-1	25903	1771903	1699273.609612	3.622418	3.622418	1	0.992945	222.000000
88	7227408	-1	24818	1771903	1394978.703361	5.181017	5.181017	1	0.992945	227.000000
89	8021592	-1	25180	1771903	2105723.513473	3.809423	3.809423	1	0.992945	230.000000
90	3850392	-1	27816	889918	2508375.861899	1.535014	1.535014	1	0.984123	231.000000
91	3447656	-1	28515	889918	2322750.274242	1.484299	1.484299	1	0.988534	232.000000
