segNum	size	Hit	buffer	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	1478416	-1	4000	369604	1836012.698410	0.805232	0.805232	1	-0.080523	1610.000000
2	3441800	-1	8000	971804	1866091.879261	1.844389	1.844389	1	0.789366	1611.000000
3	3542024	-1	9948	971804	1726943.662414	2.051036	2.051036	1	0.988534	1613.000000
4	3304520	-1	11398	971804	1295746.201178	2.550283	2.550283	1	0.988534	1615.000000
5	3552648	-1	6152	971804	384221.399747	9.246356	9.246356	1	0.988534	1624.000000
6	3199952	-1	4000	971804	239270.742832	13.373770	13.373770	1	-6.232912	1637.000000
7	1438960	-1	6428	369604	915920.934773	1.571053	1.571053	1	0.959077	1638.000000
8	1332344	-1	9288	369604	1168741.461725	1.139982	1.139982	1	0.973805	1639.000000
9	1322656	-1	11599	369604	782653.800329	1.689963	1.689963	1	0.973805	1640.000000
10	1296936	-1	14335	369604	1026501.881068	1.263452	1.263452	1	0.973805	1641.000000
11	1301720	-1	17143	369604	1092035.982199	1.192012	1.192012	1	0.973805	1642.000000
12	3619936	-1	17484	971804	989339.586907	3.658942	3.658942	1	0.973805	1645.000000
13	3580240	-1	18386	971804	1155567.491699	3.098253	3.098253	1	0.988534	1648.000000
14	4058048	-1	19572	971804	1441938.432170	2.814300	2.814300	1	0.988534	1650.000000
15	3413096	-1	21231	971804	1458321.951689	2.340427	2.340427	1	0.988534	1652.000000
16	3760000	-1	22721	971804	1498033.935968	2.509956	2.509956	1	0.988534	1654.000000
17	3469376	-1	23883	971804	1222473.278688	2.837997	2.837997	1	0.988534	1656.000000
18	3445584	-1	25445	971804	1413358.447216	2.437870	2.437870	1	0.988534	1658.000000
19	3328320	-1	26682	971804	1204467.693038	2.763312	2.763312	1	0.988534	1660.000000
20	3952536	-1	26490	971804	1126327.999433	3.509223	3.509223	1	0.988534	1663.000000
21	3641752	-1	27247	971804	1323191.485939	2.752249	2.752249	1	0.988534	1665.000000
22	3786920	-1	27713	971804	1655907.902738	2.286915	2.286915	1	0.988534	1667.000000
23	3386640	-1	27702	971804	1473789.481896	2.297913	2.297913	1	0.988534	1669.000000
24	3116168	-1	28160	971804	1694070.810084	1.839456	1.839456	1	0.988534	1670.000000
25	3106448	-1	28003	971804	1555932.576630	1.996518	1.996518	1	0.988534	1671.000000
26	3074544	-1	27751	971804	1367253.966400	2.248700	2.248700	1	0.988534	1673.000000
27	3386904	-1	26621	971804	1002563.369848	3.378244	3.378244	1	0.988534	1676.000000
28	3492232	-1	26540	971804	1009376.865888	3.459790	3.459790	1	0.988534	1679.000000
29	3562136	-1	27878	971804	1679283.960947	2.121223	2.121223	1	0.988534	1681.000000
30	3619728	-1	28037	971804	1844429.530676	1.962519	1.962519	1	0.988534	1682.000000
31	4142720	-1	27209	971804	1484609.703749	2.790444	2.790444	1	0.988534	1684.000000
32	3807880	-1	26468	971804	1078138.916618	3.531901	3.531901	1	0.988534	1687.000000
33	3544264	-1	26441	971804	996082.132616	3.558205	3.558205	1	0.988534	1690.000000
34	3351920	-1	24648	971804	626377.966703	5.351274	5.351274	1	0.988534	1695.000000
35	3675672	-1	24248	971804	835279.190041	4.400531	4.400531	1	0.988534	1699.000000
36	2087488	-1	24769	608100	600055.694009	3.478824	3.478824	1	0.978664	1702.000000
37	2045896	-1	26488	608100	897053.054405	2.280686	2.280686	1	0.983599	1704.000000
38	2027856	-1	27805	608100	924220.614843	2.194125	2.194125	1	0.983599	1706.000000
39	2319552	-1	27342	608100	872932.264305	2.657196	2.657196	1	0.983599	1708.000000
40	2189896	-1	27510	608100	879713.547089	2.489328	2.489328	1	0.983599	1710.000000
41	1775328	-1	28458	608100	1151585.809617	1.541638	1.541638	1	0.983599	1711.000000
42	2290024	-1	28036	608100	1166503.503929	1.963152	1.963152	1	0.983599	1712.000000
43	3676112	-1	26347	971804	1006535.682986	3.652242	3.652242	1	0.983599	1715.000000
44	3861592	-1	23266	971804	573524.877643	6.733085	6.733085	1	0.988534	1721.000000
45	1948200	-1	21185	608100	320337.338962	6.081714	6.081714	1	0.978664	1727.000000
46	2364496	-1	18559	608100	356878.082339	6.625501	6.625501	1	0.983599	1733.000000
47	1266328	-1	20902	369604	763930.262934	1.657649	1.657649	1	0.964012	1734.000000
48	1241536	-1	23229	369604	742319.910577	1.672508	1.672508	1	0.973805	1735.000000
49	1186440	-1	25820	369604	841887.173403	1.409262	1.409262	1	0.973805	1736.000000
50	1149560	-1	28390	369604	804053.153298	1.429706	1.429706	1	0.973805	1737.000000
51	2055984	-1	26293	608100	554636.120023	3.706906	3.706906	1	0.973805	1740.000000
52	2222168	-1	26799	608100	694355.461129	3.200332	3.200332	1	0.983599	1743.000000
53	2116632	-1	27047	608100	716854.959604	2.952664	2.952664	1	0.983599	1745.000000
54	2096592	-1	26583	608100	613660.938438	3.416532	3.416532	1	0.983599	1748.000000
55	1944192	-1	28024	608100	984222.821810	1.975358	1.975358	1	0.983599	1749.000000
56	1929688	-1	27967	608100	949429.337318	2.032471	2.032471	1	0.983599	1751.000000
57	1947968	-1	28523	608100	1319735.773214	1.476029	1.476029	1	0.983599	1752.000000
58	1897968	-1	28073	608100	985026.978902	1.926818	1.926818	1	0.983599	1753.000000
59	1937000	-1	26268	608100	519146.878285	3.731121	3.731121	1	0.983599	1756.000000
60	2224064	-1	24953	608100	440713.876176	5.046503	5.046503	1	0.983599	1761.000000
61	2255744	-1	25836	608100	723589.780139	3.117435	3.117435	1	0.983599	1764.000000
62	1916224	-1	27605	608100	859049.959434	2.230632	2.230632	1	0.983599	1766.000000
63	2003568	-1	28453	608100	1295745.458142	1.546267	1.546267	1	0.983599	1767.000000
64	2193904	-1	27618	608100	921325.167704	2.381248	2.381248	1	0.983599	1769.000000
65	1656344	-1	25876	608100	401730.473762	4.123023	4.123023	1	0.983599	1773.000000
66	2050352	-1	26415	608100	592418.988149	3.460983	3.460983	1	0.983599	1776.000000
67	2060760	-1	27094	608100	709241.642330	2.905582	2.905582	1	0.983599	1778.000000
68	2034400	-1	28379	608100	1255410.991793	1.620505	1.620505	1	0.983599	1779.000000
69	1820232	-1	28693	608100	1392952.674129	1.306744	1.306744	1	0.983599	1780.000000
70	1987120	-1	27311	608100	739030.220642	2.688821	2.688821	1	0.983599	1782.000000
71	2129424	-1	27909	608100	1018679.180161	2.090377	2.090377	1	0.983599	1784.000000
72	2126240	-1	28631	608100	1553951.117972	1.368280	1.368280	1	0.983599	1785.000000
73	3495608	-1	27790	971804	1582391.396274	2.209067	2.209067	1	0.983599	1787.000000
74	3495608	-1	27875	971804	1645237.317215	2.124683	2.124683	1	0.988534	1789.000000
75	3495608	-1	27879	971804	1648703.206694	2.120217	2.120217	1	0.988534	1791.000000
76	3495608	-1	27562	971804	1434336.850172	2.437090	2.437090	1	0.988534	1793.000000
77	3495608	-1	25749	971804	822335.619121	4.250829	4.250829	1	0.988534	1797.000000
78	3495608	-1	26384	971804	1039055.655779	3.364216	3.364216	1	0.988534	1800.000000
79	3218688	-1	27834	971804	1486247.670418	2.165647	2.165647	1	0.988534	1802.000000
