segNum	size	Hit	buffer	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	1481392	-1	4000	370348	603940.015926	2.452879	2.452879	4	-0.245288	82.000000
2	1252968	-1	8000	370348	674451.347627	1.857759	1.857759	4	0.724252	83.000000
3	2162944	-1	8456	609528	610352.564297	3.543762	3.543762	4	0.910028	86.000000
4	2094032	-1	9185	609528	640280.061311	3.270494	3.270494	4	0.923099	89.000000
5	2137936	-1	8953	609528	505152.497717	4.232259	4.232259	4	0.923099	93.000000
6	1212536	-1	10846	370348	575602.859349	2.106550	2.106550	4	0.896956	95.000000
7	1436280	-1	11699	370348	456263.349293	3.147919	3.147919	4	0.910028	98.000000
8	1331968	-1	12316	370348	393766.482334	3.382634	3.382634	4	0.910028	101.000000
9	1333496	-1	13215	370348	430092.339150	3.100488	3.100488	4	0.910028	104.000000
10	1282496	-1	15274	370348	660493.992861	1.941722	1.941722	4	0.910028	105.000000
11	1289000	-1	17284	370348	647879.475819	1.989568	1.989568	4	0.910028	106.000000
12	1347080	-1	19629	370348	814098.605204	1.654689	1.654689	4	0.910028	107.000000
13	1353888	-1	21979	370348	820414.614178	1.650249	1.650249	4	0.910028	108.000000
14	2447336	-1	23076	609528	843108.162579	2.902754	2.902754	4	0.910028	110.000000
15	2141176	-1	24456	609528	817009.084901	2.620749	2.620749	4	0.923099	112.000000
16	2287192	-1	26020	609528	939133.176067	2.435429	2.435429	4	0.923099	114.000000
17	2086512	-1	27830	609528	961562.813396	2.169918	2.169918	4	0.923099	116.000000
18	2137688	-1	28289	609528	1249569.864126	1.710739	1.710739	4	0.923099	117.000000
19	2033448	-1	27991	609528	1012564.059434	2.008217	2.008217	4	0.923099	119.000000
20	3897008	-1	26269	972232	1044672.625077	3.730363	3.730363	4	0.923099	122.000000
21	3704728	-1	24933	972232	731279.546044	5.066090	5.066090	4	0.935060	127.000000
22	2202992	-1	25555	609528	651985.608692	3.378897	3.378897	4	0.911138	130.000000
23	2136648	-1	25625	609528	543701.608186	3.929817	3.929817	4	0.923099	133.000000
24	1966784	-1	26807	609528	698001.213173	2.817737	2.817737	4	0.923099	135.000000
