segNum	size	Hit	buffer	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	831000	-1	4171	326800	3366081.918080	0.246875	0.246875	1	-0.024687	1061.000000
2	12641568	-1	8342	2363974	2469514.353285	5.119050	5.119050	1	0.461900	1066.000000
3	12223576	-1	7939	2363974	2672478.747998	4.573872	4.573872	1	0.994948	1070.000000
4	10651992	-1	8615	2363974	3048056.645134	3.494683	3.494683	1	0.994948	1073.000000
5	10503168	-1	9626	2363974	3324234.073286	3.159575	3.159575	1	0.994948	1076.000000
6	10183032	-1	11064	2363974	3725743.669394	2.733154	2.733154	1	0.994948	1078.000000
7	8018648	-1	13020	2363974	3620142.450422	2.215009	2.215009	1	0.994948	1080.000000
8	6991592	-1	15194	2363974	3500516.551626	1.997303	1.997303	1	0.994948	1081.000000
9	8060328	-1	17117	2363974	3585814.017043	2.247838	2.247838	1	0.994948	1083.000000
10	9396888	-1	18614	2363974	3514648.803433	2.673635	2.673635	1	0.994948	1085.000000
11	8474256	-1	20439	2363974	3610990.216352	2.346796	2.346796	1	0.994948	1087.000000
12	8998864	-1	22213	2363974	3754673.936681	2.396710	2.396710	1	0.994948	1089.000000
13	9272296	-1	23854	2363974	3664370.789418	2.530392	2.530392	1	0.994948	1091.000000
14	9655720	-1	25511	2363974	3841519.041879	2.513516	2.513516	1	0.994948	1093.000000
15	9504960	-1	27072	2363974	3641732.740697	2.610010	2.610010	1	0.994948	1095.000000
16	9177600	-1	27195	2363974	3272222.451574	2.804699	2.804699	1	0.994948	1097.000000
17	8968840	-1	26878	2363974	2872872.999657	3.121906	3.121906	1	0.994948	1100.000000
18	9146152	-1	27518	2363974	3686086.965050	2.481263	2.481263	1	0.994948	1102.000000
19	8505456	-1	27878	2363974	4008755.586457	2.121720	2.121720	1	0.994948	1104.000000
20	9890120	-1	27731	2363974	4358940.654644	2.268927	2.268927	1	0.994948	1106.000000
21	10240936	-1	27303	2363974	3797963.801479	2.696428	2.696428	1	0.994948	1108.000000
22	8117520	-1	27426	2363974	3154135.864922	2.573611	2.573611	1	0.994948	1110.000000
23	9945672	-1	27291	2363974	3671626.492612	2.708792	2.708792	1	0.994948	1112.000000
24	8930728	-1	27708	2363974	3897817.409095	2.291213	2.291213	1	0.994948	1114.000000
25	9265680	-1	27185	2363974	3291958.523324	2.814641	2.814641	1	0.994948	1116.000000
26	9968304	-1	27377	2363974	3801781.131416	2.622009	2.622009	1	0.994948	1118.000000
27	9519776	-1	27298	2363974	3523744.995048	2.701608	2.701608	1	0.994948	1120.000000
28	9946928	-1	27130	2363974	3466878.354624	2.869131	2.869131	1	0.994948	1122.000000
29	9483488	-1	23685	2363974	1501936.246955	6.314175	6.314175	1	0.994948	1128.000000
30	9648800	-1	24965	2363974	3337398.624880	2.891114	2.891114	1	0.994948	1130.000000
31	10030032	-1	25229	2363974	2567133.763922	3.907094	3.907094	1	0.994948	1133.000000
32	9722520	-1	24828	2363974	2126642.469586	4.571770	4.571770	1	0.994948	1137.000000
33	7076424	-1	26792	2363974	3205175.980754	2.207811	2.207811	1	0.994948	1139.000000
34	6348984	-1	27692	1685028	2751179.306634	2.307732	2.307732	1	0.990942	1141.000000
35	8853904	-1	26208	2363974	2334930.425895	3.791935	3.791935	1	0.992945	1144.000000
36	9726504	-1	25928	2363974	2388822.802125	4.071672	4.071672	1	0.994948	1148.000000
37	8741504	-1	25706	2363974	2036046.848261	4.293371	4.293371	1	0.994948	1152.000000
38	8618600	-1	26025	2363974	2237298.131958	3.852236	3.852236	1	0.994948	1155.000000
39	6600632	-1	27542	1685028	2685783.578382	2.457619	2.457619	1	0.990942	1157.000000
40	6878632	-1	28166	1685028	3751737.770216	1.833452	1.833452	1	0.992945	1158.000000
41	9919000	-1	27078	2363974	3395057.453576	2.921600	2.921600	1	0.992945	1160.000000
42	9889872	-1	27648	2363974	4205519.328004	2.351641	2.351641	1	0.994948	1162.000000
43	9694296	-1	27693	2363974	4202310.340966	2.306897	2.306897	1	0.994948	1164.000000
44	9348776	-1	26839	2363974	2957859.371820	3.160656	3.160656	1	0.994948	1167.000000
45	9555248	-1	26791	2363974	2978473.908721	3.208102	3.208102	1	0.994948	1170.000000
46	9529152	-1	27551	2363974	3892159.134197	2.448295	2.448295	1	0.994948	1172.000000
47	9112456	-1	27319	2363974	3399697.475945	2.680373	2.680373	1	0.994948	1174.000000
48	9133824	-1	27915	2363974	4380875.088655	2.084931	2.084931	1	0.994948	1176.000000
49	9464696	-1	27834	2363974	4370689.506394	2.165493	2.165493	1	0.994948	1178.000000
50	9340512	-1	27695	2363974	4052929.582238	2.304632	2.304632	1	0.994948	1180.000000
51	8887416	-1	27685	2363974	3839223.756378	2.314899	2.314899	1	0.994948	1182.000000
52	9120976	-1	27893	2363974	4330285.281252	2.106322	2.106322	1	0.994948	1184.000000
53	9396448	-1	27482	2363974	3732310.368610	2.517596	2.517596	1	0.994948	1186.000000
54	9110072	-1	27664	2363974	3901528.462214	2.335001	2.335001	1	0.994948	1188.000000
55	9064256	-1	27740	2363974	4011896.220311	2.259345	2.259345	1	0.994948	1190.000000
56	9481624	-1	27679	2363974	4085426.540185	2.320841	2.320841	1	0.994948	1192.000000
57	9104768	-1	27549	2363974	3715461.165528	2.450508	2.450508	1	0.994948	1194.000000
58	10512744	-1	27258	2363974	3834842.989141	2.741375	2.741375	1	0.994948	1196.000000
59	9601640	-1	27790	2363974	4346286.628858	2.209159	2.209159	1	0.994948	1198.000000
60	9834672	-1	27640	2363974	4168074.859313	2.359524	2.359524	1	0.994948	1200.000000
61	10652480	-1	27377	2363974	4061759.390063	2.622627	2.622627	1	0.994948	1202.000000
62	9829848	-1	27479	2363974	3899653.539723	2.520698	2.520698	1	0.994948	1204.000000
63	10483176	-1	27212	2363974	3760920.495394	2.787396	2.787396	1	0.994948	1206.000000
64	10186632	-1	27523	2363974	4113020.400623	2.476679	2.476679	1	0.994948	1208.000000
65	9622000	-1	27429	2363974	3742550.910015	2.570974	2.570974	1	0.994948	1210.000000
66	10040304	-1	27340	2363974	3774844.076746	2.659793	2.659793	1	0.994948	1212.000000
67	9118520	-1	27687	2363974	3943431.080753	2.312332	2.312332	1	0.994948	1214.000000
68	9680760	-1	27596	2363974	4028243.990487	2.403221	2.403221	1	0.994948	1216.000000
69	9270832	-1	27743	2363974	4107880.193322	2.256841	2.256841	1	0.994948	1218.000000
70	9593472	-1	27078	2363974	3284091.928876	2.921195	2.921195	1	0.994948	1220.000000
71	9368512	-1	27625	2363974	3945806.551978	2.374296	2.374296	1	0.994948	1222.000000
72	9714432	-1	27885	2363974	4594102.659438	2.114544	2.114544	1	0.994948	1224.000000
73	9464320	-1	27642	2363974	4015197.414722	2.357124	2.357124	1	0.994948	1226.000000
74	10146864	-1	27163	2363974	3577299.401424	2.836459	2.836459	1	0.994948	1228.000000
75	10006512	-1	27037	2363974	3377998.166001	2.962261	2.962261	1	0.994948	1230.000000
76	10015384	-1	27285	2363974	3689722.881349	2.714400	2.714400	1	0.994948	1232.000000
77	10394976	-1	27450	2363974	4076827.248578	2.549771	2.549771	1	0.994948	1234.000000
78	9760520	-1	27529	2363974	3950686.406288	2.470588	2.470588	1	0.994948	1236.000000
79	9952264	-1	26748	2363974	3060446.832792	3.251899	3.251899	1	0.994948	1239.000000
80	9622792	-1	26985	2363974	3192117.108699	3.014549	3.014549	1	0.994948	1242.000000
81	9470352	-1	27303	2363974	3512566.008940	2.696135	2.696135	1	0.994948	1244.000000
82	9508152	-1	26672	2363974	2857296.410822	3.327674	3.327674	1	0.994948	1247.000000
83	9718584	-1	27492	2363974	3875609.123493	2.507627	2.507627	1	0.994948	1249.000000
84	9576288	-1	26986	2363974	3177644.481590	3.013644	3.013644	1	0.994948	1252.000000
85	9988576	-1	27121	2363974	3470632.082809	2.878028	2.878028	1	0.994948	1254.000000
86	9624080	-1	27185	2363974	3418939.275673	2.814932	2.814932	1	0.994948	1256.000000
87	9775832	-1	26506	2363974	2798019.945792	3.493839	3.493839	1	0.994948	1259.000000
88	9871688	-1	27468	2363974	3900146.987697	2.531107	2.531107	1	0.994948	1261.000000
89	9124312	-1	27463	2363974	3597361.799622	2.536390	2.536390	1	0.994948	1263.000000
90	9661224	-1	26033	2363974	2435551.988081	3.966749	3.966749	1	0.994948	1266.000000
91	10743240	-1	26445	2363974	3022729.730755	3.554152	3.554152	1	0.994948	1269.000000
92	9492640	-1	26680	2363974	2859728.013070	3.319421	3.319421	1	0.994948	1272.000000
93	9388344	-1	25316	2363974	2004537.604964	4.683546	4.683546	1	0.994948	1276.000000
94	9203272	-1	25801	2363974	2497003.398927	3.685727	3.685727	1	0.994948	1279.000000
95	10511824	-1	27510	2363974	4269465.702097	2.462094	2.462094	1	0.994948	1281.000000
96	9393968	-1	26377	2363974	2593361.472350	3.622313	3.622313	1	0.994948	1284.000000
97	9834840	-1	25731	2363974	2303922.235063	4.268738	4.268738	1	0.994948	1288.000000
98	10655880	-1	22018	2363974	1351585.874144	7.883983	7.883983	1	0.994948	1295.000000
99	6927856	-1	20613	1685028	1242547.927099	5.575524	5.575524	1	0.990942	1300.000000
100	6874608	-1	19688	1685028	1349044.120294	5.095910	5.095910	1	0.992945	1305.000000
101	3512272	-1	23302	879314	6297702.297700	0.557707	0.557707	1	0.984123	1305.000000
102	6784992	-1	26294	1685028	5758374.214053	1.178283	1.178283	1	0.988534	1306.000000
103	7002032	-1	27123	1685028	2434017.590995	2.876738	2.876738	1	0.992945	1308.000000
104	7019344	-1	25855	1685028	1693555.353239	4.144738	4.144738	1	0.992945	1312.000000
105	10295448	-1	25236	2363974	2161225.561034	4.763708	4.763708	1	0.992945	1316.000000
106	9115320	-1	24760	2363974	1961606.259211	4.646865	4.646865	1	0.994948	1320.000000
107	7018256	-1	24873	1685028	1729610.668442	4.057709	4.057709	1	0.990942	1324.000000
108	7238624	-1	24082	1685028	1458655.476834	4.962532	4.962532	1	0.992945	1328.000000
109	7412328	-1	23750	1685028	1646188.518212	4.502721	4.502721	1	0.992945	1332.000000
110	5562888	-1	24923	1685028	1855580.893087	2.997923	2.997923	1	0.992945	1334.000000
111	5397640	-1	26538	1685028	2111889.029795	2.555835	2.555835	1	0.992945	1336.000000
112	5547056	-1	27346	1685028	2090738.711513	2.653156	2.653156	1	0.992945	1338.000000
113	5706624	-1	26076	1685028	1454564.730933	3.923252	3.923252	1	0.992945	1341.000000
114	5463552	-1	27361	1685028	2070407.890813	2.638877	2.638877	1	0.992945	1343.000000
115	5999088	-1	27130	1685028	2090864.267510	2.869191	2.869191	1	0.992945	1345.000000
116	5596136	-1	26547	1685028	1620705.723203	3.452901	3.452901	1	0.992945	1348.000000
117	5365152	-1	27084	1685028	1839954.570220	2.915915	2.915915	1	0.992945	1350.000000
118	6002592	-1	27178	1685028	2127304.355401	2.821689	2.821689	1	0.992945	1352.000000
119	5599648	-1	27677	1685028	2410872.316841	2.322665	2.322665	1	0.992945	1354.000000
120	5943968	-1	27711	1685028	2596818.022811	2.288943	2.288943	1	0.992945	1356.000000
121	5971280	-1	27277	1685028	2193577.474031	2.722165	2.722165	1	0.992945	1358.000000
122	5215264	-1	26464	1685028	1475301.798784	3.535049	3.535049	1	0.992945	1361.000000
123	6005240	-1	26439	1685028	1686848.360659	3.560035	3.560035	1	0.992945	1364.000000
124	6591096	-1	26250	1685028	1757685.487874	3.749872	3.749872	1	0.992945	1367.000000
125	6764104	-1	25698	1685028	1572673.252532	4.301023	4.301023	1	0.992945	1371.000000
126	6777560	-1	26503	1685028	2013240.006266	3.366494	3.366494	1	0.992945	1374.000000
127	3364464	-1	28586	879314	2380629.429950	1.413267	1.413267	1	0.984123	1375.000000
128	5138720	-1	28075	1685028	2669549.615155	1.924939	1.924939	1	0.988534	1376.000000
129	5707800	-1	27929	1685028	2756973.488894	2.070314	2.070314	1	0.992945	1378.000000
130	6425120	-1	27276	1685028	2358732.446936	2.723972	2.723972	1	0.992945	1380.000000
131	8047416	-1	26136	2363974	2082686.939074	3.863959	3.863959	1	0.992945	1383.000000
132	8809072	-1	26403	2363974	2449610.810706	3.596111	3.596111	1	0.994948	1386.000000
133	7023592	-1	27311	2363974	2612128.389707	2.688839	2.688839	1	0.994948	1388.000000
134	8165568	-1	26955	2363974	2682026.894716	3.044551	3.044551	1	0.994948	1391.000000
135	7445136	-1	27013	2363974	2492566.552920	2.986936	2.986936	1	0.994948	1393.000000
136	7881840	-1	27030	2363974	2653907.360896	2.969900	2.969900	1	0.994948	1395.000000
137	10378296	-1	25718	2363974	2424058.884154	4.281371	4.281371	1	0.994948	1399.000000
138	9720392	-1	25734	2363974	2339211.817438	4.155413	4.155413	1	0.994948	1403.000000
139	10152440	-1	25593	2363974	2354885.668480	4.311224	4.311224	1	0.994948	1407.000000
140	9125856	-1	25895	2363974	2358683.451903	3.869047	3.869047	1	0.994948	1410.000000
141	10006168	-1	25622	2363974	2285585.130978	4.377946	4.377946	1	0.994948	1414.000000
142	6440744	-1	27366	1685028	2654422.831515	2.426420	2.426420	1	0.990942	1416.000000
143	9269240	-1	25893	2363974	2257244.901122	4.106440	4.106440	1	0.992945	1420.000000
144	9369576	-1	26267	2363974	2510427.001342	3.732264	3.732264	1	0.994948	1423.000000
145	9872064	-1	26108	2363974	2537112.858557	3.891062	3.891062	1	0.994948	1426.000000
146	10131736	-1	26031	2363974	2553278.965965	3.968127	3.968127	1	0.994948	1429.000000
147	8055544	-1	26944	2363974	2636813.648409	3.055030	3.055030	1	0.994948	1432.000000
148	7725784	-1	27195	2363974	2754440.797606	2.804847	2.804847	1	0.994948	1434.000000
149	7557240	-1	27120	2363974	2624292.282929	2.879725	2.879725	1	0.994948	1436.000000
150	7260936	-1	26932	2363974	2366685.169859	3.067977	3.067977	1	0.994948	1439.000000
151	8388424	-1	26723	2363974	2560254.586504	3.276402	3.276402	1	0.994948	1442.000000
152	7774976	-1	26703	2363974	2358372.467742	3.296755	3.296755	1	0.994948	1445.000000
153	8095624	-1	26477	2363974	2298211.502837	3.522576	3.522576	1	0.994948	1448.000000
154	7915088	-1	26726	2363974	2418078.009927	3.273297	3.273297	1	0.994948	1451.000000
155	8105656	-1	26646	2363974	2417230.475282	3.353282	3.353282	1	0.994948	1454.000000
156	7971704	-1	24783	2363974	1528305.436552	5.216041	5.216041	1	0.994948	1459.000000
