segNum	size	Hit	buffer	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	1078496	-1	4167	338304	413442.784976	2.608574	2.608574	1	-0.260857	1711.000000
2	1328640	-1	8334	338304	577295.949993	2.301489	2.301489	1	0.743657	1713.000000
3	1327080	-1	9631	338304	462462.724942	2.869593	2.869593	1	0.973805	1715.000000
4	1148360	-1	10967	338304	405695.491124	2.830596	2.830596	1	0.973805	1717.000000
5	1236632	-1	12320	338304	439482.235482	2.813838	2.813838	1	0.973805	1719.000000
6	989592	-1	14018	338304	400769.402143	2.469230	2.469230	1	0.973805	1721.000000
7	1338600	-1	16085	338304	637474.502727	2.099849	2.099849	1	0.973805	1723.000000
8	744744	-1	18969	338304	580141.229797	1.283729	1.283729	1	0.973805	1724.000000
9	1249328	-1	21592	338304	809368.637951	1.543583	1.543583	1	0.973805	1725.000000
10	689120	-1	24976	338304	879811.764710	0.783258	0.783258	1	0.973805	1725.000000
11	1258512	-1	27623	574892	828279.201254	1.519430	1.519430	1	0.973805	1726.000000
12	1952104	-1	27716	574892	854738.866935	2.283860	2.283860	1	0.983599	1728.000000
13	26152	-1	29967	574892	800188.235290	0.032682	0.032682	1	0.983599	1728.000000
14	594328	-1	29257	574892	800188.235290	0.742735	0.742735	1	0.983599	1728.000000
15	955296	-1	28814	574892	805594.153061	1.185828	1.185828	1	0.983599	1729.000000
16	590888	-1	29292	574892	834685.148510	0.707917	0.707917	1	0.983599	1729.000000
17	263392	-1	29684	574892	834685.148510	0.315559	0.315559	1	0.983599	1729.000000
18	540968	-1	29351	574892	834685.148510	0.648110	0.648110	1	0.983599	1729.000000
19	1077728	-1	28702	574892	830310.918992	1.297981	1.297981	1	0.983599	1730.000000
20	1087864	-1	28751	574892	871333.813204	1.248504	1.248504	1	0.983599	1731.000000
21	512384	-1	29532	574892	1095484.638260	0.467724	0.467724	1	0.983599	1731.000000
22	276344	-1	29747	574892	1095484.638260	0.252257	0.252257	1	0.983599	1731.000000
23	2747640	-1	27210	924838	984919.109955	2.789711	2.789711	1	0.983599	1733.000000
24	2747640	-1	27627	924838	1157966.461764	2.372815	2.372815	1	0.988534	1735.000000
25	2747640	-1	27518	924838	1107293.724948	2.481401	2.481401	1	0.988534	1737.000000
26	2747640	-1	27313	924838	1022657.013100	2.686766	2.686766	1	0.988534	1739.000000
27	2747640	-1	26876	924838	879771.983037	3.123127	3.123127	1	0.988534	1742.000000
28	2747640	-1	26091	924838	703060.373876	3.908114	3.908114	1	0.988534	1745.000000
29	2747640	-1	25745	924838	645894.937892	4.254005	4.254005	1	0.988534	1749.000000
30	2747640	-1	25334	574892	600152.586444	4.578236	4.578236	1	0.978664	1753.000000
31	1876512	-1	27312	574892	857285.795809	2.188899	2.188899	1	0.983599	1755.000000
32	2134208	-1	26328	574892	581320.225836	3.671312	3.671312	1	0.983599	1758.000000
33	1977664	-1	27399	574892	760634.326745	2.600019	2.600019	1	0.983599	1760.000000
34	2027048	-1	25884	574892	492593.188030	4.115055	4.115055	1	0.983599	1764.000000
35	2233624	-1	27031	574892	752425.057450	2.968567	2.968567	1	0.983599	1766.000000
36	2285280	-1	25161	574892	472339.341819	4.838217	4.838217	1	0.983599	1770.000000
37	2281616	-1	21546	574892	293171.646778	7.782526	7.782526	1	0.983599	1777.000000
38	1274144	-1	22561	338304	404259.535342	3.151797	3.151797	1	0.964012	1780.000000
39	1218168	-1	24195	338304	480938.597764	2.532897	2.532897	1	0.973805	1782.000000
40	1366088	-1	25996	338304	577290.985468	2.366377	2.366377	1	0.973805	1784.000000
41	1495800	-1	28644	338304	1103220.353943	1.355849	1.355849	1	0.973805	1785.000000
42	1275008	-1	28991	338304	1264104.431964	1.008626	1.008626	1	0.973805	1786.000000
43	1926192	-1	28417	574892	1217263.254260	1.582396	1.582396	1	0.973805	1787.000000
44	2253096	-1	27432	574892	877710.783910	2.567014	2.567014	1	0.983599	1789.000000
45	3081424	-1	25927	924838	756723.212305	4.072062	4.072062	1	0.983599	1793.000000
46	3100952	-1	25738	924838	727720.601124	4.261185	4.261185	1	0.988534	1797.000000
47	1976712	-1	27604	574892	858783.343669	2.301759	2.301759	1	0.978664	1799.000000
48	2330888	-1	27159	574892	820513.206896	2.840768	2.840768	1	0.983599	1801.000000
