segNum	size	Hit	buffer	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	1156712	-1	4171	360203	2443148.851150	0.473451	0.473451	3	-0.047345	0.000000
2	8113128	-1	8342	1846523	2011273.970553	4.033825	4.033825	3	0.444804	4.000000
3	4463320	-1	9790	1846523	1639223.352174	2.722826	2.722826	3	0.972989	6.000000
4	4686104	-1	11811	1846523	2180043.271219	2.149546	2.149546	3	0.972989	8.000000
5	4809640	-1	14129	1846523	2595365.228020	1.853165	1.853165	3	0.972989	9.000000
6	3284912	-1	17099	1846523	2734318.093824	1.201364	1.201364	3	0.972989	10.000000
7	1808768	-1	20429	1846523	2152373.197630	0.840360	0.840360	3	0.972989	10.000000
8	2295680	-1	23541	1846523	2167375.613616	1.059198	1.059198	3	0.972989	11.000000
9	2489056	-1	26676	1846523	2403478.383276	1.035606	1.035606	3	0.972989	12.000000
10	2219536	-1	28863	1846523	1952494.411255	1.136769	1.136769	3	0.972989	13.000000
11	2125904	-1	29039	1846523	2212711.111110	0.960769	0.960769	3	0.972989	13.000000
12	1352696	-1	29388	1846523	2212711.111110	0.611330	0.611330	3	0.972989	13.000000
13	7170304	-1	19708	1846523	696703.039168	10.291765	10.291765	3	0.972989	23.000000
14	3076344	-1	21895	964812	1550620.005417	1.983944	1.983944	3	0.915154	24.000000
15	3260664	-1	23772	964812	1421700.200427	2.293496	2.293496	3	0.944072	26.000000
16	3393208	-1	25554	964812	1420055.207545	2.389490	2.389490	3	0.944072	28.000000
17	3526864	-1	26630	964812	1139639.631428	3.094719	3.094719	3	0.944072	31.000000
18	3665272	-1	22051	964812	461108.349154	7.948830	7.948830	3	0.944072	38.000000
19	3763712	-1	22824	964812	1107770.478759	3.397556	3.397556	3	0.944072	41.000000
20	2197536	-1	26061	600801	2351936.633660	0.934352	0.934352	3	0.869443	41.000000
21	3422832	-1	28464	964812	2229533.472445	1.535223	1.535223	3	0.906758	42.000000
22	3516896	-1	28310	964812	2082076.034884	1.689129	1.689129	3	0.944072	43.000000
23	3942400	-1	28087	964812	2060889.151336	1.912961	1.912961	3	0.944072	44.000000
24	4154544	-1	28169	964812	2270239.360883	1.830003	1.830003	3	0.944072	45.000000
25	6845976	-1	27638	1846523	2898474.211240	2.361924	2.361924	3	0.944072	47.000000
26	6618072	-1	27456	1846523	2602192.495609	2.543268	2.543268	3	0.972989	49.000000
27	6000280	-1	26532	1846523	1730304.131682	3.467760	3.467760	3	0.972989	52.000000
28	6724264	-1	26661	1846523	2013990.230512	3.338777	3.338777	3	0.972989	55.000000
29	5333904	-1	28056	1846523	2744058.664773	1.943801	1.943801	3	0.972989	56.000000
30	6177752	-1	27457	1846523	2430250.934198	2.542022	2.542022	3	0.972989	58.000000
31	7401096	-1	27010	1846523	2475999.953628	2.989134	2.989134	3	0.972989	60.000000
32	7971584	-1	27094	1846523	2743870.987461	2.905233	2.905233	3	0.972989	62.000000
33	7786888	-1	26276	1846523	2091138.810244	3.723755	3.723755	3	0.972989	65.000000
34	8061712	-1	25540	1846523	1807889.300230	4.459185	4.459185	3	0.972989	69.000000
35	7145664	-1	26579	1846523	2281262.130006	3.132329	3.132329	3	0.972989	72.000000
36	6847024	-1	26591	1846523	2008722.130228	3.408647	3.408647	3	0.972989	75.000000
37	7868432	-1	25893	1846523	1916148.553523	4.106379	4.106379	3	0.972989	79.000000
