segNum	size	Hit	buffer	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	892904	-1	3337	324405	630291.118754	1.416653	1.416653	4	-0.141665	944.000000
2	1934864	-1	6674	537507	577583.720124	3.349928	3.349928	4	0.575035	947.000000
3	1756080	-1	10011	537507	622150.308919	2.822598	2.822598	4	0.640839	949.000000
4	1817296	-1	10443	537507	625599.847294	2.904886	2.904886	4	0.923099	951.000000
5	1840112	-1	11458	537507	792635.634238	2.321511	2.321511	4	0.923099	953.000000
6	1985432	-1	11974	537507	703726.749359	2.821311	2.821311	4	0.923099	955.000000
7	1938632	-1	11907	537507	569589.962350	3.403557	3.403557	4	0.923099	958.000000
8	2107840	-1	9534	537507	369109.699428	5.710606	5.710606	4	0.923099	963.000000
9	1785992	-1	10679	537507	814975.437294	2.191467	2.191467	4	0.923099	965.000000
10	2013816	-1	11979	537507	988515.026626	2.037213	2.037213	4	0.923099	967.000000
11	2165280	-1	13148	537507	998989.255734	2.167471	2.167471	4	0.923099	969.000000
12	2049536	-1	14103	537507	860218.103436	2.382577	2.382577	4	0.923099	971.000000
13	2071848	-1	15387	537507	1009321.330872	2.052714	2.052714	4	0.923099	973.000000
14	3038432	-1	15612	901193	976221.724819	3.112440	3.112440	4	0.923099	976.000000
15	3607024	-1	15322	901193	994460.956516	3.627115	3.627115	4	0.935060	979.000000
16	3508208	-1	15373	901193	1067617.090897	3.286017	3.286017	4	0.935060	982.000000
17	2278304	-1	16448	901193	1007321.744643	2.261744	2.261744	4	0.935060	984.000000
18	3211720	-1	16529	901193	986363.492775	3.256122	3.256122	4	0.935060	987.000000
19	3371632	-1	17065	901193	1203859.396393	2.800686	2.800686	4	0.935060	989.000000
20	2826872	-1	18110	901193	1233326.312169	2.292071	2.292071	4	0.935060	991.000000
21	3273248	-1	18668	901193	1177942.348516	2.778785	2.778785	4	0.935060	993.000000
22	2589736	-1	19715	901193	1130819.726768	2.290140	2.290140	4	0.935060	995.000000
23	2854240	-1	20738	901193	1233183.240727	2.314530	2.314530	4	0.935060	997.000000
24	2562648	-1	21966	901193	1215180.066954	2.108863	2.108863	4	0.935060	999.000000
25	3378480	-1	22600	901193	1249915.903718	2.702966	2.702966	4	0.935060	1001.000000
26	3381784	-1	23355	901193	1309928.772898	2.581655	2.581655	4	0.935060	1003.000000
27	3431408	-1	23560	901193	1095556.541485	3.132114	3.132114	4	0.935060	1006.000000
28	3215280	-1	23693	901193	1003530.582021	3.203968	3.203968	4	0.935060	1009.000000
29	3223880	-1	23304	901193	865350.160050	3.725521	3.725521	4	0.935060	1012.000000
30	3098248	-1	22960	901193	841523.711853	3.681712	3.681712	4	0.935060	1015.000000
31	2407240	-1	24188	901193	1141312.067239	2.109186	2.109186	4	0.935060	1017.000000
