segNum	size	Hit	buffer	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	1224888	-1	4171	360441	1600764.179100	0.765190	0.765190	5	-0.076519	0.000000
2	3956824	-1	8342	941139	1629232.413020	2.428643	2.428643	5	0.691209	2.000000
3	3058392	-1	11057	941139	2101190.799210	1.455552	1.455552	5	0.969475	3.000000
4	2738456	-1	13634	941139	1718562.914525	1.593457	1.593457	5	0.969475	4.000000
5	1586920	-1	16971	941139	1901886.792450	0.834392	0.834392	5	0.969475	4.000000
6	672960	-1	20788	941139	1901886.792450	0.353838	0.353838	5	0.969475	4.000000
7	2811656	-1	23298	941139	1692872.351019	1.660879	1.660879	5	0.969475	5.000000
8	6360400	-1	20094	1840813	862437.045048	7.374915	7.374915	5	0.969475	12.000000
9	3661048	-1	20193	941139	899032.741412	4.072208	4.072208	5	0.957128	16.000000
10	3226008	-1	22792	941139	2051235.715814	1.572714	1.572714	5	0.969475	17.000000
11	3313608	-1	25267	941139	1954091.660431	1.695728	1.695728	5	0.969475	18.000000
12	3607736	-1	27676	941139	2047677.161888	1.761868	1.761868	5	0.969475	19.000000
13	962376	-1	29469	941139	1813992.031870	0.530529	0.530529	5	0.969475	19.000000
14	2657576	-1	28601	941139	1900981.801425	1.398002	1.398002	5	0.969475	20.000000
15	7128560	-1	26297	1840813	1925234.886353	3.702696	3.702696	5	0.969475	23.000000
16	7582080	-1	16850	1840813	576586.198743	13.149951	13.149951	5	0.981821	36.000000
17	3300920	-1	16478	941139	726721.974856	4.542205	4.542205	5	0.957128	40.000000
18	3298360	-1	17300	941139	984775.119664	3.349354	3.349354	5	0.969475	43.000000
19	3421664	-1	19186	941139	1497670.913225	2.284657	2.284657	5	0.969475	45.000000
20	2050280	-1	22120	596527	1656903.995826	1.237416	1.237416	5	0.943182	46.000000
21	2282080	-1	23534	596527	827842.097450	2.756661	2.756661	5	0.956328	48.000000
22	3382912	-1	23280	941139	764502.862171	4.424983	4.424983	5	0.956328	52.000000
23	3784240	-1	24233	941139	1175808.975887	3.218414	3.218414	5	0.969475	55.000000
24	3598768	-1	25964	941139	1474831.616239	2.440121	2.440121	5	0.969475	57.000000
25	3643928	-1	27772	941139	1636010.495194	2.227326	2.227326	5	0.969475	59.000000
26	3400888	-1	28155	941139	1843762.466322	1.844537	1.844537	5	0.969475	60.000000
27	3699456	-1	28088	941139	1935690.804986	1.911181	1.911181	5	0.969475	61.000000
28	3276096	-1	28044	941139	1675679.666011	1.955085	1.955085	5	0.969475	62.000000
29	3330960	-1	28099	941139	1752646.929907	1.900531	1.900531	5	0.969475	63.000000
30	3304136	-1	28378	941139	2038013.084440	1.621254	1.621254	5	0.969475	64.000000
31	3859208	-1	27883	941139	1823133.965069	2.116799	2.116799	5	0.969475	66.000000
32	3743224	-1	28001	941139	1873243.154576	1.998258	1.998258	5	0.969475	67.000000
33	4160888	-1	27751	941139	1850867.082964	2.248075	2.248075	5	0.969475	69.000000
34	6764000	-1	25711	1840813	1577343.555951	4.288222	4.288222	5	0.969475	73.000000
35	3807176	-1	27562	941139	1640713.705152	2.320439	2.320439	5	0.957128	75.000000
36	3696360	-1	27559	941139	1514867.560321	2.440055	2.440055	5	0.969475	77.000000
37	3858824	-1	27340	941139	1451146.214063	2.659156	2.659156	5	0.969475	79.000000
38	4396552	-1	26973	941139	1452751.614979	3.026362	3.026362	5	0.969475	82.000000
39	3533504	-1	27454	941139	1388328.671512	2.545149	2.545149	5	0.969475	84.000000
40	3620152	-1	27204	941139	1295077.783015	2.795316	2.795316	5	0.969475	86.000000
41	3953040	-1	26943	941139	1293166.105267	3.056869	3.056869	5	0.969475	89.000000
42	3410576	-1	27896	941139	1621009.800863	2.103982	2.103982	5	0.969475	91.000000
43	3350760	-1	28071	941139	1737319.662366	1.928695	1.928695	5	0.969475	92.000000
44	3249992	-1	28031	941139	1650733.009217	1.968817	1.968817	5	0.969475	93.000000
45	3380184	-1	27910	941139	1617962.907703	2.089160	2.089160	5	0.969475	95.000000
46	3512488	-1	27108	941139	1214786.303956	2.891445	2.891445	5	0.969475	97.000000
47	3331688	-1	25263	941139	703450.518175	4.736208	4.736208	5	0.969475	101.000000
48	3378328	-1	22846	941139	512811.312634	6.587858	6.587858	5	0.969475	107.000000
49	2125856	-1	23112	596527	544401.202164	3.904944	3.904944	5	0.943182	110.000000
50	1738968	-1	24797	596527	699460.118517	2.486157	2.486157	5	0.956328	112.000000
51	2418176	-1	27459	596527	1602075.476161	1.509402	1.509402	5	0.956328	113.000000
52	2391568	-1	28739	596527	1897908.848828	1.260107	1.260107	5	0.956328	114.000000
53	2256080	-1	28557	596527	1563982.044004	1.442523	1.442523	5	0.956328	115.000000
54	4051160	-1	27562	941139	1662128.854400	2.437332	2.437332	5	0.956328	117.000000
55	3679760	-1	27897	941139	1750015.072677	2.102702	2.102702	5	0.969475	119.000000
56	3953784	-1	27614	941139	1657578.569611	2.385277	2.385277	5	0.969475	121.000000
57	3184920	-1	28023	941139	1611178.602791	1.976764	1.976764	5	0.969475	122.000000
58	3674096	-1	27862	941139	1718671.398237	2.137754	2.137754	5	0.969475	124.000000
59	3301976	-1	28187	941139	1821985.620067	1.812295	1.812295	5	0.969475	125.000000
60	3615672	-1	28251	941139	2068316.599439	1.748123	1.748123	5	0.969475	126.000000
61	3600704	-1	28371	941139	2211687.499920	1.628035	1.628035	5	0.969475	127.000000
62	7478512	-1	26530	1840813	2155303.154933	3.469819	3.469819	5	0.969475	130.000000
63	7285968	-1	25942	1840813	1795550.477680	4.057791	4.057791	5	0.981821	134.000000
64	7621840	-1	24462	1840813	1376346.082581	5.537735	5.537735	5	0.981821	139.000000
65	7662112	-1	22976	1840813	1354480.816250	5.656863	5.656863	5	0.981821	144.000000
