segNum	size	Hit	buffer	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	1092048	-1	4171	350564	932579.600083	1.170997	1.170997	1	-0.117100	1.000000
2	2345880	-1	8342	588468	2465347.698330	0.951541	0.951541	1	0.878651	1.000000
3	3675680	-1	10668	957895	1993111.661043	1.844192	1.844192	1	0.983599	2.000000
4	3784728	-1	11828	957895	1256867.180319	3.011239	3.011239	1	0.988534	5.000000
5	4040408	-1	12756	957895	1245723.361508	3.243423	3.243423	1	0.988534	8.000000
6	3650576	-1	13368	957895	1025878.520939	3.558488	3.558488	1	0.988534	11.000000
7	3854632	-1	14411	957895	1232273.058647	3.128066	3.128066	1	0.988534	14.000000
8	3812448	-1	15122	957895	1101787.710683	3.460238	3.460238	1	0.988534	17.000000
9	4248968	-1	11082	957895	517476.863617	8.210933	8.210933	1	0.988534	25.000000
10	2155464	-1	10200	588468	426580.395674	5.052890	5.052890	1	0.978664	30.000000
11	2506136	-1	9193	588468	483992.777069	5.178044	5.178044	1	0.983599	35.000000
12	2545768	-1	5981	588468	344826.847506	7.382743	7.382743	1	0.983599	42.000000
13	1235928	-1	8365	350564	691666.227332	1.786885	1.786885	1	0.964012	43.000000
14	1412624	-1	10972	350564	902933.842848	1.564482	1.564482	1	0.973805	44.000000
15	1370488	-1	13420	350564	795251.916891	1.723338	1.723338	1	0.973805	45.000000
16	1538360	-1	15435	350564	713792.313005	2.155193	2.155193	1	0.973805	47.000000
17	2618992	-1	16345	588468	803118.116159	3.261030	3.261030	1	0.973805	50.000000
18	2218856	-1	17976	588468	873400.219587	2.540480	2.540480	1	0.983599	52.000000
19	2582680	-1	19036	588468	830128.477680	3.111181	3.111181	1	0.983599	55.000000
20	2614272	-1	20287	588468	895407.584771	2.919645	2.919645	1	0.983599	57.000000
21	2439360	-1	21778	588468	910234.960709	2.679923	2.679923	1	0.983599	59.000000
22	2084656	-1	23485	588468	846093.077113	2.463861	2.463861	1	0.983599	61.000000
23	2335552	-1	23495	588468	561279.022635	4.161125	4.161125	1	0.983599	65.000000
24	2514576	-1	24091	588468	703340.388925	3.575191	3.575191	1	0.983599	68.000000
25	2444784	-1	22991	588468	463826.572171	5.270901	5.270901	1	0.983599	73.000000
26	2537160	-1	22862	588468	590023.733306	4.300098	4.300098	1	0.983599	77.000000
27	2556784	-1	21940	588468	502043.079319	5.092758	5.092758	1	0.983599	82.000000
