segNum	size	Hit	buffer	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	1439632	-1	4000	359908	2738341.658340	0.525731	0.525731	4	-0.052573	0.000000
2	8633712	-1	8000	2562392	2048983.062906	4.213657	4.213657	4	0.488662	4.000000
3	7308112	-1	8627	1786782	2167149.101131	3.372224	3.372224	4	0.941717	7.000000
4	7886536	-1	9837	1786782	2826864.108943	2.789853	2.789853	4	0.952550	9.000000
5	7900912	-1	10902	1786782	2691623.997097	2.935370	2.935370	4	0.952550	11.000000
6	6095888	-1	12690	1786782	2756075.406134	2.211800	2.211800	4	0.952550	13.000000
7	6674056	-1	14196	1786782	2675705.018997	2.494317	2.494317	4	0.952550	15.000000
8	11060496	-1	14505	2562392	2996805.945215	3.690761	3.690761	4	0.952550	18.000000
9	11050752	-1	15396	2562392	3554666.002235	3.108802	3.108802	4	0.963384	21.000000
10	10591864	-1	16091	2562392	3204302.400617	3.305513	3.305513	4	0.963384	24.000000
11	10182624	-1	17302	2562392	3651021.488584	2.788979	2.788979	4	0.963384	26.000000
12	11935736	-1	18020	2562392	3637190.171284	3.281582	3.281582	4	0.963384	29.000000
13	10271960	-1	18881	2562392	3271800.078600	3.139544	3.139544	4	0.963384	32.000000
14	12080984	-1	19370	2562392	3440762.938883	3.511135	3.511135	4	0.963384	35.000000
15	9964112	-1	20528	2562392	3506334.674007	2.841746	2.841746	4	0.963384	37.000000
16	12201584	-1	20491	2562392	3022609.895077	4.036771	4.036771	4	0.963384	41.000000
17	9848136	-1	20631	2562392	2551164.160781	3.860252	3.860252	4	0.963384	44.000000
18	10570136	-1	20897	2562392	2831082.080221	3.733603	3.733603	4	0.963384	47.000000
19	10655712	-1	21696	2562392	3328094.062789	3.201746	3.201746	4	0.963384	50.000000
20	10648224	-1	21738	2562392	2690701.266079	3.957416	3.957416	4	0.963384	53.000000
21	10975432	-1	22084	2562392	3003841.664588	3.653798	3.653798	4	0.963384	56.000000
22	11302216	-1	21964	2562392	2743025.635985	4.120346	4.120346	4	0.963384	60.000000
23	4948112	-1	24068	2562392	2609703.963101	1.896043	1.896043	4	0.963384	61.000000
