segNum	size	Hit	buffer	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	1178088	-1	4000	320189	525527.589663	2.241724	2.241724	5	-0.224172	2.000000
2	950344	-1	8000	320189	1022563.297350	0.929374	0.929374	5	0.841136	2.000000
3	2107432	-1	9931	527493	1018673.554870	2.068800	2.068800	5	0.934073	4.000000
4	1640720	-1	12062	527493	877924.608559	1.868862	1.868862	5	0.956328	5.000000
5	2200232	-1	12642	527493	643459.041284	3.419382	3.419382	5	0.956328	8.000000
6	2148336	-1	12628	527493	535113.639135	4.014729	4.014729	5	0.956328	12.000000
7	2074832	-1	13337	527493	630563.597775	3.290441	3.290441	5	0.956328	15.000000
8	2011872	-1	14522	527493	714625.108619	2.815283	2.815283	5	0.956328	17.000000
9	2132720	-1	15351	527493	672538.873221	3.171148	3.171148	5	0.956328	20.000000
10	2141272	-1	15028	527493	495326.740322	4.322949	4.322949	5	0.956328	24.000000
11	2340536	-1	12819	527493	376991.733138	6.208454	6.208454	5	0.956328	30.000000
12	2197768	-1	14965	527493	1184898.133264	1.854816	1.854816	5	0.956328	31.000000
13	2369248	-1	17328	527493	1448031.559954	1.636185	1.636185	5	0.956328	32.000000
14	1941544	-1	20163	527493	1665414.923687	1.165802	1.165802	5	0.956328	33.000000
15	2054088	-1	22916	527493	1647896.389573	1.246491	1.246491	5	0.956328	34.000000
16	3620640	-1	25002	870325	1891253.246977	1.914413	1.914413	5	0.956328	35.000000
17	3518392	-1	27117	870325	1866571.395915	1.884949	1.884949	5	0.969475	36.000000
18	7913152	-1	25188	1659307	1644558.320711	4.811719	4.811719	5	0.969475	40.000000
19	6864952	-1	24942	1659307	1616906.948239	4.245731	4.245731	5	0.981821	44.000000
20	7296032	-1	24953	1659307	1829118.666304	3.988824	3.988824	5	0.981821	47.000000
21	7249144	-1	24550	1659307	1646376.930704	4.403089	4.403089	5	0.981821	51.000000
22	7265760	-1	24153	1659307	1652235.626217	4.397533	4.397533	5	0.981821	55.000000
23	7852288	-1	24100	1659307	1937377.628237	4.053050	4.053050	5	0.981821	59.000000
24	7019344	-1	24194	1659307	1797098.699092	3.905931	3.905931	5	0.981821	62.000000
25	7304960	-1	23984	1659307	1735352.982811	4.209495	4.209495	5	0.981821	66.000000
26	7130864	-1	24458	1659307	2022476.914788	3.525807	3.525807	5	0.981821	69.000000
27	7134440	-1	24827	1659307	1964579.524489	3.631535	3.631535	5	0.981821	72.000000
28	7112504	-1	24808	1659307	1769785.616403	4.018851	4.018851	5	0.981821	76.000000
29	7102400	-1	24919	1659307	1826507.715357	3.888514	3.888514	5	0.981821	79.000000
30	7130496	-1	24346	1659307	1559261.425688	4.572996	4.572996	5	0.981821	83.000000
31	7233896	-1	24127	1659307	1714478.731580	4.219298	4.219298	5	0.981821	87.000000
32	7354064	-1	24005	1659307	1784184.036301	4.121808	4.121808	5	0.981821	91.000000
33	3759840	-1	25784	1659307	1692406.281605	2.221594	2.221594	5	0.981821	93.000000
