segNum	size	Hit	buffer	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	656272	-1	4171	291497	1223832.167830	0.536243	0.536243	2	-0.053624	0.000000
2	4086240	-1	8342	831372	1506159.871404	2.713019	2.713019	2	0.718760	2.000000
3	4021488	-1	9327	831372	1262320.412765	3.185790	3.185790	2	0.996167	5.000000
4	3167224	-1	11124	831372	1334194.422221	2.373885	2.373885	2	0.996167	7.000000
5	3305104	-1	12945	831372	1406605.876444	2.349702	2.349702	2	0.996167	9.000000
6	2406256	-1	15553	831372	1538934.866767	1.563585	1.563585	2	0.996167	10.000000
7	1833120	-1	18322	831372	1308205.055557	1.401248	1.401248	2	0.996167	11.000000
8	4158992	-1	19267	831372	1288980.984575	3.226574	3.226574	2	0.996167	14.000000
9	3608264	-1	20498	831372	1227430.673612	2.939689	2.939689	2	0.996167	16.000000
10	3812344	-1	21337	831372	1143991.505059	3.332493	3.332493	2	0.996167	19.000000
11	4023944	-1	22707	831372	1436674.164987	2.800874	2.800874	2	0.996167	21.000000
12	4003536	-1	23976	831372	1379613.289443	2.901926	2.901926	2	0.996167	23.000000
13	3559544	-1	25737	831372	1476903.893414	2.410139	2.410139	2	0.996167	25.000000
14	3705616	-1	27575	831372	1588902.253025	2.332186	2.332186	2	0.996167	27.000000
15	3944264	-1	27640	831372	1671811.636292	2.359275	2.359275	2	0.996167	29.000000
16	3844400	-1	27583	831372	1590768.527899	2.416694	2.416694	2	0.996167	31.000000
17	3632424	-1	27768	831372	1627611.236692	2.231752	2.231752	2	0.996167	33.000000
18	3416288	-1	27477	831372	1354075.031939	2.522968	2.522968	2	0.996167	35.000000
19	3538480	-1	27531	831372	1433287.972763	2.468785	2.468785	2	0.996167	37.000000
20	3618584	-1	27647	831372	1537944.517216	2.352870	2.352870	2	0.996167	39.000000
21	4238744	-1	26604	831372	1248523.088123	3.395007	3.395007	2	0.996167	42.000000
22	4535072	-1	26913	831372	1469278.483618	3.086598	3.086598	2	0.996167	45.000000
23	3042328	-1	28251	831372	1739549.259696	1.748917	1.748917	2	0.996167	46.000000
24	3508384	-1	26947	831372	1149369.134425	3.052443	3.052443	2	0.996167	49.000000
25	3808032	-1	27227	831372	1373467.699335	2.772568	2.772568	2	0.996167	51.000000
26	3706904	-1	27100	831372	1278533.040995	2.899342	2.899342	2	0.996167	53.000000
27	735736	-1	29335	831372	1107429.583700	0.664364	0.664364	2	0.996167	53.000000
