segNum	size	Hit	buffer	bIndex	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	188880	-1	4171	0	358927	1285622.902270	0.146917	0.146917	3	-0.014692	0.000000
2	306264	-1	8342	2	969948	1285622.902270	0.238222	0.238222	3	0.824365	0.000000
3	1023480	-1	11716	2	969948	1285622.902270	0.796097	0.796097	3	0.944072	0.000000
4	276640	-1	15672	2	969948	1285622.902270	0.215180	0.215180	3	0.944072	0.000000
5	211120	-1	19679	2	969948	1285622.902270	0.164216	0.164216	3	0.944072	0.000000
6	689752	-1	23313	2	969948	1285622.902270	0.536512	0.536512	3	0.944072	0.000000
7	552080	-1	27055	2	969948	1285622.902270	0.429426	0.429426	3	0.944072	0.000000
8	243848	-1	29810	2	969948	1285622.902270	0.189673	0.189673	3	0.944072	0.000000
9	611376	-1	29524	2	969948	1285622.902270	0.475548	0.475548	3	0.944072	0.000000
10	550352	-1	29571	2	969948	1285622.902270	0.428082	0.428082	3	0.944072	0.000000
11	271952	-1	29788	2	969948	1285622.902270	0.211533	0.211533	3	0.944072	0.000000
12	208888	-1	29837	2	969948	1285622.902270	0.162480	0.162480	3	0.944072	0.000000
13	580848	-1	29548	2	969948	1285622.902270	0.451803	0.451803	3	0.944072	0.000000
14	3461408	-1	27733	2	969948	1527537.171283	2.266006	2.266006	3	0.944072	2.000000
15	3325304	-1	28157	2	969948	1804794.477853	1.842483	1.842483	3	0.944072	3.000000
16	3930248	-1	28021	2	969948	1986978.663234	1.978002	1.978002	3	0.944072	4.000000
17	3995936	-1	28043	2	969948	2042091.283197	1.956786	1.956786	3	0.944072	5.000000
18	3432584	-1	28316	2	969948	2039164.052810	1.683329	1.683329	3	0.944072	6.000000
19	6301544	-1	26703	3	1841232	1911727.636526	3.296256	3.296256	3	0.944072	9.000000
20	7038480	-1	26512	3	1841232	2017953.059301	3.487930	3.487930	3	0.972989	12.000000
21	7389600	-1	26077	3	1841232	1883959.617796	3.922377	3.922377	3	0.972989	15.000000
22	8758536	-1	25422	3	1841232	1913254.567523	4.577821	4.577821	3	0.972989	19.000000
23	8822528	-1	24923	3	1841232	1889251.021126	4.669855	4.669855	3	0.972989	23.000000
24	8298448	-1	24907	3	1841232	1982238.625152	4.186402	4.186402	3	0.972989	27.000000
25	8536032	-1	24823	3	1841232	2005786.743459	4.255703	4.255703	3	0.972989	31.000000
26	9741064	-1	24302	3	1841232	2076103.654160	4.691993	4.691993	3	0.972989	35.000000
27	292328	-1	28283	3	1841232	1536889.771600	0.190208	0.190208	3	0.972989	35.000000
28	239920	-1	29843	3	1841232	1536889.771600	0.156107	0.156107	3	0.972989	35.000000
29	570176	-1	29629	2	969948	1536889.771600	0.370993	0.370993	3	0.915154	35.000000
30	3897992	-1	27782	2	969948	1757686.757937	2.217683	2.217683	3	0.944072	37.000000
31	3989792	-1	27673	2	969948	1714944.472608	2.326485	2.326485	3	0.944072	39.000000
32	3989400	-1	27698	2	969948	1733445.217885	2.301428	2.301428	3	0.944072	41.000000
33	4360448	-1	27566	2	969948	1791929.544564	2.433381	2.433381	3	0.944072	43.000000
34	4481752	-1	27643	2	969948	1901491.524581	2.356967	2.356967	3	0.944072	45.000000
35	2502776	-1	28537	2	969948	1711732.429996	1.462130	1.462130	3	0.944072	46.000000
36	3901952	-1	26741	2	969948	1197457.240860	3.258531	3.258531	3	0.944072	49.000000
37	3242304	-1	27181	2	969948	1150558.590028	2.818026	2.818026	3	0.944072	51.000000
38	3965552	-1	27391	2	969948	1520516.405204	2.608030	2.608030	3	0.944072	53.000000
39	3734816	-1	27978	2	969948	1847627.689568	2.021412	2.021412	3	0.944072	55.000000
40	4176888	-1	27422	2	969948	1620508.092443	2.577518	2.577518	3	0.944072	57.000000
41	861168	-1	29252	2	969948	1151936.696340	0.747583	0.747583	3	0.944072	57.000000
42	3675256	-1	27270	2	969948	1346607.380254	2.729271	2.729271	3	0.944072	59.000000
43	4009424	-1	26310	2	969948	1086681.419577	3.689604	3.689604	3	0.944072	62.000000
44	4293984	-1	25587	2	969948	973209.798499	4.412187	4.412187	3	0.944072	66.000000
45	3809824	-1	25410	2	969948	876219.144571	4.348026	4.348026	3	0.944072	70.000000
46	4020472	-1	26999	2	969948	1556750.153358	2.582606	2.582606	3	0.944072	72.000000
47	3961840	-1	27737	2	969948	1751372.285606	2.262135	2.262135	3	0.944072	74.000000
48	4281000	-1	27681	2	969948	1846207.209977	2.318808	2.318808	3	0.944072	76.000000
49	3839192	-1	27157	2	969948	1350847.315488	2.842062	2.842062	3	0.944072	78.000000
50	3903144	-1	27331	2	969948	1462581.969882	2.668667	2.668667	3	0.944072	80.000000
51	3770096	-1	27609	2	969948	1577198.549161	2.390375	2.390375	3	0.944072	82.000000
52	4247144	-1	27499	2	969948	1698225.647032	2.500930	2.500930	3	0.944072	84.000000
53	4048520	-1	27227	2	969948	1460447.688878	2.772109	2.772109	3	0.944072	86.000000
54	4033064	-1	26236	2	969948	1071552.050276	3.763759	3.763759	3	0.944072	89.000000
55	4363312	-1	22918	2	969948	616181.375853	7.081214	7.081214	3	0.944072	96.000000
56	3385544	-1	24655	2	969948	1390897.929612	2.434071	2.434071	3	0.944072	98.000000
57	3740232	-1	26259	2	969948	1456951.581091	2.567163	2.567163	3	0.944072	100.000000
58	3738256	-1	27419	2	969948	1448887.180312	2.580088	2.580088	3	0.944072	102.000000
59	4060336	-1	26826	2	969948	1279385.529900	3.173661	3.173661	3	0.944072	105.000000
60	3615288	-1	26845	2	969948	1146221.091503	3.154093	3.154093	3	0.944072	108.000000
61	4044704	-1	26923	2	969948	1314683.680650	3.076561	3.076561	3	0.944072	111.000000
62	4471568	-1	26393	2	969948	1239875.760479	3.606465	3.606465	3	0.944072	114.000000
63	3683368	-1	26851	2	969948	1169740.075811	3.148877	3.148877	3	0.944072	117.000000
64	3696192	-1	27322	2	969948	1380454.064655	2.677519	2.677519	3	0.944072	119.000000
65	4087912	-1	27204	2	969948	1462057.597049	2.795999	2.795999	3	0.944072	121.000000
66	4257144	-1	27551	2	969948	1738639.753229	2.448549	2.448549	3	0.944072	123.000000
67	3806224	-1	27684	2	969948	1643619.666994	2.315757	2.315757	3	0.944072	125.000000
68	4068904	-1	27203	2	969948	1454866.671170	2.796754	2.796754	3	0.944072	127.000000
69	4140040	-1	26696	2	969948	1253213.177954	3.303540	3.303540	3	0.944072	130.000000
70	3768568	-1	26693	2	969948	1139733.367631	3.306535	3.306535	3	0.944072	133.000000
71	2563680	-1	27754	2	969948	1141664.559471	2.245563	2.245563	3	0.944072	135.000000
72	3857960	-1	27103	2	969948	1332163.356276	2.896011	2.896011	3	0.944072	137.000000
73	3969856	-1	27009	2	969948	1327471.151940	2.990540	2.990540	3	0.944072	139.000000
74	3795064	-1	27146	2	969948	1329982.369052	2.853469	2.853469	3	0.944072	141.000000
75	3708744	-1	27359	2	969948	1404444.487787	2.640720	2.640720	3	0.944072	143.000000
76	3691088	-1	27511	2	969948	1483522.491276	2.488057	2.488057	3	0.944072	145.000000
77	3487384	-1	27734	2	969948	1539065.560749	2.265910	2.265910	3	0.944072	147.000000
78	3867840	-1	27553	2	969948	1580781.731941	2.446789	2.446789	3	0.944072	149.000000
79	3695440	-1	27781	2	969948	1666044.486324	2.218092	2.218092	3	0.944072	151.000000
80	3636152	-1	27665	2	969948	1557869.431343	2.334054	2.334054	3	0.944072	153.000000
81	3452392	-1	27837	2	969948	1596388.364647	2.162627	2.162627	3	0.944072	155.000000
82	3388760	-1	27996	2	969948	1691656.333181	2.003220	2.003220	3	0.944072	157.000000
83	3745592	-1	27361	2	969948	1419337.619989	2.638972	2.638972	3	0.944072	159.000000
84	3647384	-1	27045	2	969948	1234365.803501	2.954865	2.954865	3	0.944072	161.000000
