segNum	size	Hit	buffer	bIndex	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	398760	-1	4171	0	360022	2230345.654350	0.178788	0.178788	3	-0.017879	0.000000
2	7484840	-1	8342	3	2013359	3026702.501394	2.472935	2.472935	3	0.600893	2.000000
3	2988568	-1	11669	3	2013359	3541375.245580	0.843900	0.843900	3	0.972989	2.000000
4	468624	-1	15707	4	2756122	3541375.245580	0.132328	0.132328	3	0.972989	2.000000
5	369440	-1	19774	4	2756122	3541375.245580	0.104321	0.104321	3	0.982696	2.000000
6	515392	-1	23799	4	2756122	3541375.245580	0.145534	0.145534	3	0.982696	2.000000
7	2040776	-1	27394	4	2756122	3541375.245580	0.576267	0.576267	3	0.982696	2.000000
8	1652888	-1	29533	4	2756122	3541375.245580	0.466736	0.466736	3	0.982696	2.000000
9	1055704	-1	29701	4	2756122	3541375.245580	0.298106	0.298106	3	0.982696	2.000000
10	683424	-1	29807	4	2756122	3541375.245580	0.192983	0.192983	3	0.982696	2.000000
11	645272	-1	29817	4	2756122	3541375.245580	0.182209	0.182209	3	0.982696	2.000000
12	681672	-1	29807	4	2756122	3541375.245580	0.192488	0.192488	3	0.982696	2.000000
13	827120	-1	29766	4	2756122	3541375.245580	0.233559	0.233559	3	0.982696	2.000000
14	734024	-1	29792	4	2756122	3541375.245580	0.207271	0.207271	3	0.982696	2.000000
15	862232	-1	29756	4	2756122	3541375.245580	0.243474	0.243474	3	0.982696	2.000000
16	769896	-1	29782	4	2756122	3541375.245580	0.217400	0.217400	3	0.982696	2.000000
17	1255464	-1	29645	4	2756122	3541375.245580	0.354513	0.354513	3	0.982696	2.000000
18	993408	-1	29719	4	2756122	3541375.245580	0.280515	0.280515	3	0.982696	2.000000
19	5686424	-1	28423	4	2756122	3607469.616614	1.576292	1.576292	3	0.982696	3.000000
20	10993184	-1	27459	4	2756122	4327792.455049	2.540137	2.540137	3	0.982696	5.000000
21	11263384	-1	27635	4	2756122	4763954.163282	2.364293	2.364293	3	0.982696	7.000000
22	12043224	-1	27491	4	2756122	4800241.116672	2.508879	2.508879	3	0.982696	9.000000
23	12183464	-1	27249	4	2756122	4429435.923222	2.750568	2.750568	3	0.982696	11.000000
