segNum	size	Hit	buffer	bIndex	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	63120	-1	4171	0	357286	1143904.095900	0.055179	0.055179	4	-0.005518	1699.000000
2	2387920	-1	8342	2	953414	1099689.345119	2.171450	2.171450	4	0.692883	1701.000000
3	4139296	-1	8910	2	953414	1149055.553862	3.602346	3.602346	4	0.935060	1704.000000
4	4259080	-1	8653	2	953414	961797.100765	4.428252	4.428252	4	0.935060	1708.000000
5	2650680	-1	10519	2	953414	1150117.051425	2.304705	2.304705	4	0.935060	1710.000000
6	511088	-1	14315	2	953414	1363391.634980	0.374865	0.374865	4	0.935060	1710.000000
7	3035280	-1	16189	2	953414	1321153.890226	2.297446	2.297446	4	0.935060	1712.000000
8	3822784	-1	17184	2	953414	1203717.772587	3.175814	3.175814	4	0.935060	1715.000000
9	3743552	-1	16229	2	953414	730343.955083	5.125738	5.125738	4	0.935060	1720.000000
10	2277304	-1	17745	2	953414	857647.598007	2.655291	2.655291	4	0.935060	1722.000000
11	1605288	-1	20710	2	953414	1331372.057230	1.205740	1.205740	4	0.935060	1723.000000
12	3729456	-1	21739	2	953414	1186841.722631	3.142336	3.142336	4	0.935060	1726.000000
13	4240120	-1	21836	2	953414	1040869.474171	4.073633	4.073633	4	0.935060	1730.000000
14	4498712	-1	21727	2	953414	1050907.998687	4.280786	4.280786	4	0.935060	1734.000000
15	3662888	-1	22306	2	953414	1019885.471397	3.591470	3.591470	4	0.935060	1737.000000
16	3851920	-1	23453	2	953414	1273850.237639	3.023841	3.023841	4	0.935060	1740.000000
17	3765032	-1	23684	2	953414	955590.045433	3.940008	3.940008	4	0.935060	1743.000000
18	3774128	-1	23777	2	953414	925444.853415	4.078177	4.078177	4	0.935060	1747.000000
19	3473808	-1	19742	2	953414	423323.348070	8.206039	8.206039	4	0.935060	1755.000000
20	3473808	-1	19823	1	584771	849374.649731	4.089842	4.089842	4	0.911138	1759.000000
21	3473808	-1	20319	1	584771	945102.396085	3.675589	3.675589	4	0.923099	1762.000000
22	3473808	-1	21164	1	584771	1044513.030174	3.325768	3.325768	4	0.923099	1765.000000
23	3473808	-1	21603	1	584771	930796.005762	3.732083	3.732083	4	0.923099	1768.000000
24	3473808	-1	22088	1	584771	942497.691186	3.685747	3.685747	4	0.923099	1771.000000
25	3473808	-1	20820	1	584771	638629.642304	5.439472	5.439472	4	0.923099	1776.000000
26	3473808	-1	17844	1	584771	486106.937505	7.146181	7.146181	4	0.923099	1783.000000
27	3473808	-1	17622	1	584771	790785.157166	4.392859	4.392859	4	0.923099	1787.000000
28	2426896	-1	19582	1	584771	1097307.869082	2.211682	2.211682	4	0.923099	1789.000000
29	2524528	-1	21743	1	584771	1256045.317996	2.009902	2.009902	4	0.923099	1791.000000
30	2363480	-1	24121	1	584771	1318246.158178	1.792897	1.792897	4	0.923099	1792.000000
31	2625160	-1	25698	1	584771	1012110.326206	2.593749	2.593749	4	0.923099	1794.000000
32	4278768	-1	25403	2	953414	957923.223242	4.466713	4.466713	4	0.923099	1798.000000
33	3668752	-1	26043	2	953414	1039263.026398	3.530148	3.530148	4	0.935060	1801.000000
