segNum	size	Hit	buffer	bIndex	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	1304992	-1	4171	0	321054	2055416.583420	0.634904	0.634904	1	-0.063490	423.000000
2	6404960	-1	8342	3	1771903	1598830.353588	4.006029	4.006029	1	0.573203	427.000000
3	7634416	-1	7060	3	1771903	1400269.831263	5.452103	5.452103	1	0.992945	432.000000
4	3056816	-1	8782	2	889918	1247968.590751	2.449433	2.449433	1	0.984123	434.000000
5	616904	-1	12446	2	889918	1217207.547170	0.506819	0.506819	1	0.988534	434.000000
6	2347568	-1	14788	2	889918	1283146.598248	1.829540	1.829540	1	0.988534	435.000000
7	3922512	-1	16161	2	889918	1402222.678285	2.797353	2.797353	1	0.988534	437.000000
8	3075680	-1	18161	2	889918	1416761.120009	2.170923	2.170923	1	0.988534	439.000000
9	3179568	-1	20119	2	889918	1436811.116480	2.212934	2.212934	1	0.988534	441.000000
10	2970008	-1	22449	2	889918	1612684.113934	1.841655	1.841655	1	0.988534	442.000000
11	3078352	-1	24706	2	889918	1608600.377594	1.913683	1.913683	1	0.988534	443.000000
12	3471312	-1	26566	2	889918	1502274.314268	2.310704	2.310704	1	0.988534	445.000000
13	3289248	-1	27957	2	889918	1610370.311788	2.042541	2.042541	1	0.988534	447.000000
14	3588016	-1	27970	2	889918	1768186.599518	2.029207	2.029207	1	0.988534	449.000000
15	3553592	-1	27937	2	889918	1722597.528060	2.062926	2.062926	1	0.988534	451.000000
16	3924688	-1	27682	2	889918	1693501.897877	2.317498	2.317498	1	0.988534	453.000000
17	3924688	-1	27558	2	889918	1607420.885616	2.441606	2.441606	1	0.988534	455.000000
18	3341408	-1	28090	2	889918	1750210.518971	1.909146	1.909146	1	0.988534	456.000000
19	3500040	-1	27665	2	889918	1499048.695802	2.334841	2.334841	1	0.988534	458.000000
20	3323784	-1	27448	2	889918	1302618.445276	2.551617	2.551617	1	0.988534	460.000000
21	3446560	-1	27053	2	889918	1169565.438721	2.946872	2.946872	1	0.988534	462.000000
22	3529104	-1	27538	2	889918	1433490.451024	2.461896	2.461896	1	0.988534	464.000000
23	3503760	-1	27875	2	889918	1649313.414650	2.124375	2.124375	1	0.988534	466.000000
24	3402944	-1	28126	2	889918	1815883.363117	1.873988	1.873988	1	0.988534	467.000000
25	3470032	-1	27815	2	889918	1588445.071133	2.184546	2.184546	1	0.988534	469.000000
26	3284968	-1	28013	2	889918	1653697.814665	1.986438	1.986438	1	0.988534	470.000000
27	3323472	-1	27814	2	889918	1520517.149240	2.185751	2.185751	1	0.988534	472.000000
28	3228680	-1	27856	2	889918	1506018.843238	2.143851	2.143851	1	0.988534	474.000000
29	3757608	-1	27395	2	889918	1442658.988826	2.604640	2.604640	1	0.988534	476.000000
