segNum	size	Hit	buffer	bIndex	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	1481392	-1	4000	0	370348	970290.870972	1.526750	1.526750	4	-0.152675	1621.000000
2	2091600	-1	8000	1	609528	503942.584985	4.150473	4.150473	4	0.494980	1625.000000
3	2162944	-1	6415	1	609528	387325.264505	5.584309	5.584309	4	0.923099	1630.000000
4	1280112	-1	8374	0	370348	627244.794355	2.040849	2.040849	4	0.896956	1632.000000
5	1298480	-1	10719	0	370348	784229.534765	1.655740	1.655740	4	0.910028	1633.000000
6	1212536	-1	13402	0	370348	920863.438365	1.316738	1.316738	4	0.910028	1634.000000
7	1436280	-1	15903	0	370348	958092.800237	1.499103	1.499103	4	0.910028	1635.000000
8	2240640	-1	17078	1	609528	793122.600047	2.825087	2.825087	4	0.910028	1637.000000
9	2299080	-1	16108	1	609528	462575.878777	4.970168	4.970168	4	0.923099	1641.000000
10	2003432	-1	16856	1	609528	616191.716426	3.251313	3.251313	4	0.923099	1644.000000
11	2132872	-1	17793	1	609528	696341.848724	3.062967	3.062967	4	0.923099	1647.000000
12	2193992	-1	20592	1	609528	1826209.803293	1.201391	1.201391	4	0.923099	1648.000000
13	2228456	-1	21807	1	609528	800106.822376	2.785198	2.785198	4	0.923099	1650.000000
14	2447336	-1	23849	1	609528	1249961.692431	1.957929	1.957929	4	0.923099	1651.000000
15	2141176	-1	25998	1	609528	1156788.183887	1.850966	1.850966	4	0.923099	1652.000000
16	3761960	-1	26293	2	972232	1015453.368039	3.704710	3.704710	4	0.923099	1655.000000
17	3494384	-1	27252	2	972232	1271862.619898	2.747454	2.747454	4	0.935060	1657.000000
18	3450904	-1	27048	2	972232	1169373.037555	2.951072	2.951072	4	0.935060	1659.000000
19	3365280	-1	27498	2	972232	1345151.514651	2.501785	2.501785	4	0.935060	1661.000000
20	3897008	-1	27655	2	972232	1662447.393606	2.344139	2.344139	4	0.935060	1663.000000
21	3704728	-1	27836	2	972232	1712250.185829	2.163660	2.163660	4	0.935060	1665.000000
22	3776192	-1	27471	2	972232	1493197.459641	2.528930	2.528930	4	0.935060	1667.000000
23	3481880	-1	28224	2	972232	1960715.960308	1.775821	1.775821	4	0.935060	1668.000000
24	3124944	-1	28368	2	972232	1914809.935055	1.631987	1.631987	4	0.935060	1669.000000
25	2904360	-1	28445	2	972232	1868808.611690	1.554124	1.554124	4	0.935060	1670.000000
26	3040800	-1	28275	2	972232	1763280.693385	1.724513	1.724513	4	0.935060	1671.000000
27	3186640	-1	28389	2	972232	1979055.409529	1.610182	1.610182	4	0.935060	1672.000000
28	6277056	-1	26886	3	1880788	2016376.058374	3.113038	3.113038	4	0.935060	1675.000000
29	5911624	-1	27007	3	1880788	1975513.544540	2.992449	2.992449	4	0.952550	1677.000000
30	5963168	-1	25960	3	1880788	1476245.901179	4.039414	4.039414	4	0.952550	1681.000000
31	3094760	-1	27171	2	972232	1109735.144543	2.788737	2.788737	4	0.917569	1683.000000
32	3319624	-1	26621	2	972232	982570.685484	3.378509	3.378509	4	0.935060	1686.000000
33	3477824	-1	28226	2	972232	1960842.033636	1.773638	1.773638	4	0.935060	1687.000000
34	3477824	-1	28255	2	972232	1993872.871954	1.744256	1.744256	4	0.935060	1688.000000
