segNum	size	Hit	buffer	bIndex	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	1156712	-1	4171	0	360203	2738341.658340	0.422413	0.422413	3	-0.042241	0.000000
2	11978168	-1	8342	4	2627647	2003698.180077	5.978030	5.978030	3	0.250384	5.000000
3	4463320	-1	10529	3	1846523	2249813.344145	1.983862	1.983862	3	0.963282	6.000000
4	4686104	-1	12924	3	1846523	2639432.220742	1.775421	1.775421	3	0.972989	7.000000
5	4809640	-1	15380	3	1846523	2803405.106731	1.715642	1.715642	3	0.972989	8.000000
6	3284912	-1	18372	3	1846523	2787050.107400	1.178634	1.178634	3	0.972989	9.000000
7	1808768	-1	21919	3	1846523	2899376.849430	0.623847	0.623847	3	0.972989	9.000000
8	2787064	-1	25129	4	2627647	2899376.849430	0.961263	0.961263	3	0.972989	9.000000
9	2641288	-1	28389	4	2627647	2899376.849430	0.910985	0.910985	3	0.982696	9.000000
10	2697696	-1	29069	4	2627647	2899376.849430	0.930440	0.930440	3	0.982696	9.000000
11	2561208	-1	29116	4	2627647	2899376.849430	0.883365	0.883365	3	0.982696	9.000000
12	1839792	-1	29365	4	2627647	2899376.849430	0.634547	0.634547	3	0.982696	9.000000
13	9739096	-1	26358	4	2627647	2674732.271908	3.641148	3.641148	3	0.982696	12.000000
14	8898160	-1	26668	4	2627647	2670613.848403	3.331878	3.331878	3	0.982696	15.000000
15	8898776	-1	26897	4	2627647	2867944.658190	3.102841	3.102841	3	0.982696	18.000000
16	9257120	-1	27371	4	2627647	3521650.077696	2.628631	2.628631	3	0.982696	20.000000
17	10176872	-1	27007	4	2627647	3401039.284329	2.992283	2.992283	3	0.982696	22.000000
18	10433728	-1	26864	4	2627647	3327229.264366	3.135861	3.135861	3	0.982696	25.000000
19	10925536	-1	26956	4	2627647	3590372.392253	3.043009	3.043009	3	0.982696	28.000000
20	10372904	-1	26897	4	2627647	3342959.134888	3.102911	3.102911	3	0.982696	31.000000
21	9859296	-1	27144	4	2627647	3453178.025032	2.855137	2.855137	3	0.982696	33.000000
22	9646784	-1	27133	4	2627647	3365637.353540	2.866258	2.866258	3	0.982696	35.000000
23	10995760	-1	26834	4	2627647	3473877.195126	3.165270	3.165270	3	0.982696	38.000000
24	10144896	-1	26651	4	2627647	3029683.585734	3.348500	3.348500	3	0.982696	41.000000
25	9576576	-1	26257	4	2627647	2559039.432075	3.742254	3.742254	3	0.982696	44.000000
26	9181328	-1	26634	4	2627647	2728235.484970	3.365299	3.365299	3	0.982696	47.000000
27	8477832	-1	27500	4	2627647	3391750.361534	2.499545	2.499545	3	0.982696	49.000000
28	9568928	-1	26436	4	2627647	2685515.284149	3.563163	3.563163	3	0.982696	52.000000
29	7327496	-1	27531	4	2627647	2968943.652247	2.468048	2.468048	3	0.982696	54.000000
30	8548512	-1	26949	4	2627647	2801894.698287	3.050975	3.050975	3	0.982696	57.000000
31	10356640	-1	26356	4	2627647	2842192.574979	3.643891	3.643891	3	0.982696	60.000000
32	11188512	-1	26215	4	2627647	2956690.217363	3.784134	3.784134	3	0.982696	63.000000
33	11215336	-1	26275	4	2627647	3011241.447936	3.724489	3.724489	3	0.982696	66.000000
34	11830760	-1	26192	4	2627647	3106932.969793	3.807858	3.807858	3	0.982696	69.000000
35	9663640	-1	27200	4	2627647	3451828.411756	2.799571	2.799571	3	0.982696	71.000000
36	9657344	-1	27352	4	2627647	3647225.543600	2.647860	2.647860	3	0.982696	73.000000
37	10952464	-1	26724	4	2627647	3343573.458424	3.275676	3.275676	3	0.982696	76.000000
38	9253984	-1	27216	4	2627647	3324476.543689	2.783591	2.783591	3	0.982696	78.000000
39	9391376	-1	27315	4	2627647	3498623.934060	2.684306	2.684306	3	0.982696	80.000000
40	11075528	-1	26815	4	2627647	3477992.595580	3.184460	3.184460	3	0.982696	83.000000
41	10278456	-1	26831	4	2627647	3244020.955737	3.168431	3.168431	3	0.982696	86.000000
42	2461568	-1	29301	4	2627647	3526273.726270	0.698065	0.698065	3	0.982696	86.000000
43	8758568	-1	27331	4	2627647	3282661.568762	2.668130	2.668130	3	0.982696	88.000000
44	11425712	-1	25694	4	2627647	2653899.655224	4.305254	4.305254	3	0.982696	92.000000
45	10317904	-1	24724	4	2627647	2006764.081347	5.141563	5.141563	3	0.982696	97.000000
46	10554816	-1	26215	4	2627647	3938404.817698	2.679972	2.679972	3	0.982696	99.000000
47	10248440	-1	26922	4	2627647	3329814.868519	3.077781	3.077781	3	0.982696	102.000000
48	10041360	-1	27200	4	2627647	3586801.113871	2.799531	2.799531	3	0.982696	104.000000
49	10567504	-1	26356	4	2627647	2900385.992553	3.643482	3.643482	3	0.982696	107.000000
50	10337688	-1	26430	4	2627647	2896209.000136	3.569386	3.569386	3	0.982696	110.000000
51	10940336	-1	26720	4	2627647	3336324.770323	3.279158	3.279158	3	0.982696	113.000000
52	10749816	-1	27478	4	2627647	4262458.294991	2.521976	2.521976	3	0.982696	115.000000
53	9941096	-1	27337	4	2627647	3733146.786050	2.662927	2.662927	3	0.982696	117.000000
54	10127424	-1	27333	4	2627647	3797972.507201	2.666534	2.666534	3	0.982696	119.000000
55	10449592	-1	26918	4	2627647	3390851.247983	3.081702	3.081702	3	0.982696	122.000000
56	10634496	-1	27008	4	2627647	3555319.442974	2.991151	2.991151	3	0.982696	124.000000
57	9680216	-1	26547	4	2627647	2804124.659934	3.452135	3.452135	3	0.982696	127.000000
58	10871864	-1	25832	4	2627647	2608495.112910	4.167868	4.167868	3	0.982696	131.000000
59	10541048	-1	27177	4	2627647	3734882.044180	2.822324	2.822324	3	0.982696	133.000000
60	9867640	-1	27313	4	2627647	3673488.877862	2.686177	2.686177	3	0.982696	135.000000
61	9954568	-1	27097	4	2627647	3429980.382539	2.902223	2.902223	3	0.982696	137.000000
62	8705176	-1	27265	4	2627647	3183943.094884	2.734087	2.734087	3	0.982696	139.000000
63	9192864	-1	27674	4	2627647	3953012.211128	2.325534	2.325534	3	0.982696	141.000000
64	9154928	-1	27544	4	2627647	3728113.135767	2.455647	2.455647	3	0.982696	143.000000
65	10726400	-1	26233	4	2627647	2847947.669175	3.766361	3.766361	3	0.982696	146.000000
66	9321248	-1	27430	4	2627647	3627117.424388	2.569878	2.569878	3	0.982696	148.000000
67	9157792	-1	27635	4	2627647	3873846.927438	2.364005	2.364005	3	0.982696	150.000000
68	8342704	-1	27791	4	2627647	3777581.346671	2.208478	2.208478	3	0.982696	152.000000
69	7025528	-1	27805	4	2627647	3201556.149679	2.194410	2.194410	3	0.982696	154.000000
70	9257744	-1	26504	4	2627647	2648146.745619	3.495933	3.495933	3	0.982696	157.000000
71	9185320	-1	27141	4	2627647	3213286.075827	2.858544	2.858544	3	0.982696	159.000000
72	9330184	-1	27606	4	2627647	3898561.835562	2.393237	2.393237	3	0.982696	161.000000
73	8994360	-1	27733	4	2627647	3967850.980341	2.266809	2.266809	3	0.982696	163.000000
74	9884712	-1	27481	4	2627647	3924427.036610	2.518766	2.518766	3	0.982696	165.000000
75	9616592	-1	27259	4	2627647	3508931.278566	2.740604	2.740604	3	0.982696	167.000000
76	10183840	-1	26709	4	2627647	3094678.346793	3.290759	3.290759	3	0.982696	170.000000
77	10400888	-1	24513	4	2627647	1895817.495905	5.486229	5.486229	3	0.982696	175.000000
78	9890336	-1	24844	4	2627647	2575472.632712	3.840202	3.840202	3	0.982696	178.000000
79	11143160	-1	24556	4	2627647	2499119.679055	4.458834	4.458834	3	0.982696	182.000000
80	7352312	-1	26072	3	1846523	2768602.901686	2.655604	2.655604	3	0.963282	184.000000
81	7892336	-1	27369	3	1846523	3000436.929539	2.630396	2.630396	3	0.972989	186.000000
82	8137768	-1	26985	3	1846523	2699949.048346	3.014045	3.014045	3	0.972989	189.000000
83	9454016	-1	26011	4	2627647	2370096.719607	3.988874	3.988874	3	0.972989	192.000000
84	9624968	-1	25867	4	2627647	2328858.501801	4.132912	4.132912	3	0.982696	196.000000
85	7148784	-1	24903	3	1846523	1402648.055762	5.096634	5.096634	3	0.963282	201.000000
86	6718528	-1	25926	3	1846523	2134139.272009	3.148121	3.148121	3	0.972989	204.000000
87	6308824	-1	26095	3	1846523	1615983.026676	3.904016	3.904016	3	0.972989	207.000000
88	6365152	-1	25257	3	1846523	1342219.374036	4.742259	4.742259	3	0.972989	211.000000
89	3719520	-1	27100	2	964812	1597673.444924	2.328085	2.328085	3	0.915154	213.000000
