segNum	size	Hit	buffer	bIndex	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	892904	-1	3337	0	324405	252166.657874	3.540928	3.540928	4	-0.354093	3.000000
2	1217256	-1	6674	0	324405	603186.155828	2.018044	2.018044	4	0.708223	5.000000
3	1063120	-1	10011	0	324405	1213592.079210	0.876011	0.876011	4	0.822426	5.000000
4	1110752	-1	12432	0	324405	1213592.079210	0.915260	0.915260	4	0.910028	5.000000
5	1840112	-1	13545	1	537507	827442.085451	2.223856	2.223856	4	0.910028	7.000000
6	1985432	-1	13865	1	537507	657997.269116	3.017386	3.017386	4	0.923099	10.000000
7	1938632	-1	15850	1	537507	1434116.147355	1.351796	1.351796	4	0.923099	11.000000
8	3594752	-1	17510	2	901193	2143513.701178	1.677037	1.677037	4	0.923099	12.000000
9	3068792	-1	19391	2	901193	2106800.008201	1.456613	1.456613	4	0.935060	13.000000
10	3083816	-1	21108	2	901193	1903591.380519	1.619999	1.619999	4	0.935060	14.000000
11	3596104	-1	22643	2	901193	1996065.128749	1.801597	1.801597	4	0.935060	15.000000
12	6232728	-1	21557	3	1726931	1409150.775320	4.423038	4.423038	4	0.935060	19.000000
13	6724352	-1	19417	3	1726931	1227857.285701	5.476493	5.476493	4	0.952550	24.000000
14	3038432	-1	21435	2	901193	2303054.142850	1.319306	1.319306	4	0.917569	25.000000
15	3607024	-1	23349	2	901193	2534270.168165	1.423299	1.423299	4	0.935060	26.000000
16	6721744	-1	23965	3	1726931	2470836.690843	2.720432	2.720432	4	0.935060	28.000000
17	5052840	-1	25171	3	1726931	2370128.547817	2.131884	2.131884	4	0.952550	30.000000
18	6201112	-1	25190	3	1726931	1869234.533009	3.317461	3.317461	4	0.952550	33.000000
19	6578752	-1	25280	3	1726931	2025917.671541	3.247295	3.247295	4	0.952550	36.000000
20	5981832	-1	26057	3	1726931	2336806.085103	2.559832	2.559832	4	0.952550	38.000000
21	5942872	-1	27269	3	1726931	2796239.109612	2.125309	2.125309	4	0.952550	40.000000
22	5307504	-1	28490	3	1726931	3515169.021515	1.509886	1.509886	4	0.952550	41.000000
23	5368920	-1	28336	3	1726931	3227339.358890	1.663575	1.663575	4	0.952550	42.000000
24	8606048	-1	27346	4	2557656	3243114.880367	2.653636	2.653636	4	0.952550	44.000000
25	9434136	-1	26182	4	2557656	2471583.359472	3.817041	3.817041	4	0.963384	47.000000
26	9910136	-1	25746	4	2557656	2626037.136578	3.773799	3.773799	4	0.963384	50.000000
27	9747240	-1	25849	4	2557656	3014336.880677	3.233627	3.233627	4	0.963384	53.000000
28	10321056	-1	26055	4	2557656	3296393.455061	3.131015	3.131015	4	0.963384	56.000000
29	8722896	-1	26251	4	2557656	2777105.727879	3.141002	3.141002	4	0.963384	59.000000
30	7404448	-1	26830	4	2557656	2684290.969494	2.758437	2.758437	4	0.963384	61.000000
31	6499184	-1	28223	4	2557656	3658649.599529	1.776389	1.776389	4	0.963384	62.000000
