segNum	size	Hit	buffer	bIndex	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	463816	-1	3333	0	333984	908706.811450	0.510413	0.510413	1	-0.051041	0.000000
2	3399648	-1	6666	2	888935	1429857.194926	2.377614	2.377614	1	0.736044	2.000000
3	2924688	-1	9999	2	888935	1519145.523957	1.925219	1.925219	1	0.796012	3.000000
4	2990560	-1	10254	2	888935	971634.337084	3.077866	3.077866	1	0.988534	6.000000
5	2980912	-1	10597	2	888935	997047.840088	2.989738	2.989738	1	0.988534	8.000000
6	3158960	-1	11159	2	888935	1140241.771816	2.770430	2.770430	1	0.988534	10.000000
7	3170152	-1	11782	2	888935	1169790.356805	2.710017	2.710017	1	0.988534	12.000000
8	3288080	-1	12774	2	888935	1403998.999231	2.341939	2.341939	1	0.988534	14.000000
9	3318912	-1	13199	2	888935	1141438.955777	2.907656	2.907656	1	0.988534	16.000000
10	3352728	-1	13094	2	888935	975240.127695	3.437849	3.437849	1	0.988534	19.000000
11	3293488	-1	13766	2	888935	1237697.965239	2.660979	2.660979	1	0.988534	21.000000
12	3188648	-1	12775	2	888935	737440.886669	4.323937	4.323937	1	0.988534	25.000000
13	3064000	-1	7768	2	888935	367399.528965	8.339695	8.339695	1	0.988534	33.000000
14	2126232	-1	6382	1	549918	450536.846313	4.719330	4.719330	1	0.978664	37.000000
15	2004528	-1	6642	1	549918	652208.918986	3.073445	3.073445	1	0.983599	40.000000
16	2110408	-1	6672	1	549918	639019.993547	3.302570	3.302570	1	0.983599	43.000000
17	1201952	-1	7951	0	333984	585296.409733	2.053578	2.053578	1	0.964012	45.000000
18	1259800	-1	9852	0	333984	879671.573631	1.432125	1.432125	1	0.973805	46.000000
19	1995792	-1	10602	1	549918	772462.841404	2.583674	2.583674	1	0.973805	48.000000
20	2059368	-1	10877	1	549918	673461.587217	3.057885	3.057885	1	0.983599	51.000000
21	1786608	-1	11740	1	549918	723529.484400	2.469295	2.469295	1	0.983599	53.000000
22	1820472	-1	13368	1	549918	1067258.424490	1.705746	1.705746	1	0.983599	54.000000
23	1940904	-1	14977	1	549918	1126239.878129	1.723349	1.723349	1	0.983599	55.000000
24	2058680	-1	16183	1	549918	967852.086870	2.127061	2.127061	1	0.983599	57.000000
25	1971464	-1	16941	1	549918	765376.441580	2.575810	2.575810	1	0.983599	59.000000
26	3468344	-1	17190	2	888935	1124831.336925	3.083435	3.083435	1	0.983599	62.000000
27	3162936	-1	17107	2	888935	925770.565096	3.416544	3.416544	1	0.988534	65.000000
28	2514168	-1	17245	2	888935	787081.284295	3.194293	3.194293	1	0.988534	68.000000
29	3092864	-1	16862	2	888935	832224.052331	3.716384	3.716384	1	0.988534	71.000000
30	718848	-1	19420	1	549918	927384.615380	0.775135	0.775135	1	0.978664	71.000000
31	250024	-1	22483	2	888935	927384.615380	0.269601	0.269601	1	0.983599	71.000000
