segNum	size	Hit	buffer	bIndex	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	1488760	-1	4000	0	372190	659294.110351	2.258112	2.258112	4	-0.225811	2122.000000
2	2078144	-1	8000	1	605764	724747.838858	2.867403	2.867403	4	0.623287	2124.000000
3	2213984	-1	7797	1	605764	526839.743993	4.202386	4.202386	4	0.923099	2128.000000
4	2073656	-1	8035	1	605764	551172.119262	3.762266	3.762266	4	0.923099	2131.000000
5	1321224	-1	10501	0	372190	861118.347322	1.534312	1.534312	4	0.896956	2132.000000
6	1918912	-1	12545	1	605764	981362.587432	1.955355	1.955355	4	0.910028	2133.000000
7	2294936	-1	13830	1	605764	845345.276404	2.714791	2.714791	4	0.923099	2135.000000
8	2275192	-1	15657	1	605764	1046882.747376	2.173302	2.173302	4	0.923099	2137.000000
9	2238312	-1	18145	1	605764	1480374.387388	1.511990	1.511990	4	0.923099	2138.000000
10	3136424	-1	19283	2	986046	1095976.543069	2.861762	2.861762	4	0.923099	2140.000000
11	3428272	-1	20092	2	986046	1074186.196742	3.191506	3.191506	4	0.935060	2143.000000
12	3628824	-1	20239	2	986046	941898.624296	3.852669	3.852669	4	0.935060	2146.000000
13	3577472	-1	20691	2	986046	1008321.563368	3.547948	3.547948	4	0.935060	2149.000000
14	3926544	-1	21079	2	986046	1087136.149980	3.611824	3.611824	4	0.935060	2152.000000
15	3416616	-1	21875	2	986046	1066189.712715	3.204510	3.204510	4	0.935060	2155.000000
16	3764496	-1	22781	2	986046	1216939.512698	3.093413	3.093413	4	0.935060	2158.000000
17	3416816	-1	23803	2	986046	1147266.338686	2.978224	2.978224	4	0.935060	2160.000000
18	3490952	-1	24551	2	986046	1073236.490143	3.252733	3.252733	4	0.935060	2163.000000
19	3231624	-1	25602	2	986046	1096023.096690	2.948500	2.948500	4	0.935060	2165.000000
20	3862384	-1	25894	2	986046	1041562.061757	3.708261	3.708261	4	0.935060	2168.000000
21	3696624	-1	26583	2	986046	1116598.383843	3.310612	3.310612	4	0.935060	2171.000000
22	3717560	-1	26700	2	986046	1126571.868387	3.299887	3.299887	4	0.935060	2174.000000
23	3542904	-1	26487	2	986046	1008680.991414	3.512413	3.512413	4	0.935060	2177.000000
24	3073424	-1	27247	2	986046	1116644.300621	2.752375	2.752375	4	0.935060	2179.000000
25	3405840	-1	26293	2	986046	918868.231676	3.706560	3.706560	4	0.935060	2182.000000
26	3406392	-1	26481	2	986046	968002.879664	3.518990	3.518990	4	0.935060	2185.000000
27	3646424	-1	26337	2	986046	995633.947267	3.662414	3.662414	4	0.935060	2188.000000
28	3375312	-1	25936	2	986046	830737.256731	4.063032	4.063032	4	0.935060	2192.000000
29	2137440	-1	27418	1	605764	848648.364928	2.518640	2.518640	4	0.911138	2194.000000
30	2259448	-1	27189	1	605764	803973.605989	2.810351	2.810351	4	0.923099	2196.000000
31	2087928	-1	27624	1	605764	878791.803977	2.375907	2.375907	4	0.923099	2198.000000
32	1844352	-1	28239	1	605764	1047670.300867	1.760432	1.760432	4	0.923099	2199.000000
33	2134368	-1	27982	1	605764	1058121.496552	2.017129	2.017129	4	0.923099	2201.000000
34	2101056	-1	27970	1	605764	1035509.265334	2.029007	2.029007	4	0.923099	2203.000000
35	2035952	-1	27838	1	605764	941708.053933	2.161978	2.161978	4	0.923099	2205.000000
36	2957208	-1	26811	2	986046	927478.817462	3.188437	3.188437	4	0.923099	2208.000000
37	3026568	-1	26582	2	986046	885581.611801	3.417605	3.417605	4	0.935060	2211.000000
38	2053040	-1	27786	1	605764	927510.259785	2.213496	2.213496	4	0.911138	2213.000000
39	2388424	-1	27587	1	605764	989847.936201	2.412920	2.412920	4	0.923099	2215.000000
40	2300456	-1	27657	1	605764	982111.247917	2.342358	2.342358	4	0.923099	2217.000000
41	1867888	-1	27754	1	605764	831977.149302	2.245119	2.245119	4	0.923099	2219.000000
42	1865904	-1	27546	1	605764	760473.792087	2.453607	2.453607	4	0.923099	2221.000000
43	2034752	-1	26759	1	605764	627820.364130	3.240978	3.240978	4	0.923099	2224.000000
44	1819288	-1	23564	1	605764	282714.948987	6.435061	6.435061	4	0.923099	2230.000000
45	1425120	-1	25686	0	372190	758595.707217	1.878629	1.878629	4	0.896956	2231.000000
46	1283640	-1	28166	0	372190	844379.761351	1.520216	1.520216	4	0.910028	2232.000000
47	1376648	-1	28645	0	372190	1016223.492104	1.354671	1.354671	4	0.910028	2233.000000
48	1158616	-1	29029	0	372190	1194019.801980	0.970349	0.970349	4	0.910028	2233.000000
49	2021432	-1	27975	1	605764	998333.436058	2.024806	2.024806	4	0.910028	2235.000000
50	1980720	-1	27795	1	605764	898555.917697	2.204337	2.204337	4	0.923099	2237.000000
51	1958952	-1	28127	1	605764	1046411.406196	1.872067	1.872067	4	0.923099	2238.000000
52	3169304	-1	26568	2	986046	923593.250247	3.431493	3.431493	4	0.923099	2241.000000
53	3169304	-1	25871	2	986046	767640.296162	4.128632	4.128632	4	0.935060	2245.000000
54	3169304	-1	27179	1	605764	1177355.148480	2.691884	2.691884	4	0.911138	2247.000000
55	3169304	-1	27361	1	605764	1201314.616756	2.638196	2.638196	4	0.923099	2249.000000
56	3169304	-1	26515	2	986046	909587.223372	3.484332	3.484332	4	0.923099	2252.000000
57	3169304	-1	26413	1	605764	883635.834391	3.586663	3.586663	4	0.911138	2255.000000
58	3169304	-1	26347	1	605764	867786.627867	3.652170	3.652170	4	0.923099	2258.000000
59	3169304	-1	24697	2	986046	597698.174483	5.302516	5.302516	4	0.923099	2263.000000
60	3169304	-1	23411	1	605764	599585.448936	5.285825	5.285825	4	0.911138	2268.000000
61	3169304	-1	19666	1	605764	409207.770696	7.744975	7.744975	4	0.923099	2275.000000
62	3169304	-1	17350	1	605764	501747.482881	6.316532	6.316532	4	0.923099	2281.000000
63	1254240	-1	18074	0	372190	382935.798545	3.275327	3.275327	4	0.896956	2284.000000
64	1084576	-1	20460	0	372190	671907.385627	1.614175	1.614175	4	0.910028	2285.000000
65	1288848	-1	22869	0	372190	810183.129422	1.590811	1.590811	4	0.910028	2286.000000
66	1358088	-1	25553	0	372190	1031327.125562	1.316835	1.316835	4	0.910028	2287.000000
67	1327720	-1	27905	0	372190	805813.638878	1.647676	1.647676	4	0.910028	2288.000000
68	2080168	-1	27683	1	605764	897836.430831	2.316867	2.316867	4	0.910028	2290.000000
69	1845760	-1	28040	1	605764	942109.979593	1.959177	1.959177	4	0.923099	2291.000000
70	2148768	-1	27619	1	605764	902758.010699	2.380226	2.380226	4	0.923099	2293.000000
71	2237000	-1	27432	1	605764	871144.296886	2.567887	2.567887	4	0.923099	2295.000000
72	2038072	-1	27742	1	605764	902882.230995	2.257296	2.257296	4	0.923099	2297.000000
73	1865272	-1	28001	1	605764	933482.677715	1.998186	1.998186	4	0.923099	2298.000000
74	2147504	-1	27456	1	605764	844222.030173	2.543767	2.543767	4	0.923099	2300.000000
75	1949072	-1	27068	1	605764	664836.839514	2.931655	2.931655	4	0.923099	2302.000000
76	1965296	-1	23638	1	605764	308936.714700	6.361484	6.361484	4	0.923099	2308.000000
77	2007744	-1	21236	1	605764	313594.267536	6.402362	6.402362	4	0.923099	2314.000000
78	1230856	-1	22484	0	372190	447347.361110	2.751455	2.751455	4	0.896956	2316.000000
79	1166568	-1	23963	0	372190	462742.374111	2.520988	2.520988	4	0.910028	2318.000000
80	1269504	-1	25283	0	372190	473698.139497	2.679985	2.679985	4	0.910028	2320.000000
81	1318400	-1	22711	0	372190	200606.458949	6.572072	6.572072	4	0.910028	2326.000000
82	1233376	-1	24136	0	372190	478921.227044	2.575321	2.575321	4	0.910028	2328.000000
