segNum	size	Hit	buffer	bIndex	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	186560	-1	3333	0	346201	1181298.701300	0.157928	0.157928	5	-0.015793	3458.000000
2	1302512	-1	6666	2	877192	1178169.956727	1.105538	1.105538	5	0.823519	3459.000000
3	2800744	-1	9999	2	877192	1081387.062981	2.589955	2.589955	5	0.710479	3461.000000
4	2974776	-1	3333	2	877192	204486.976880	14.547508	14.547508	5	-3.579034	3475.000000
5	1277672	-1	3333	0	346201	279016.702947	4.579195	4.579195	5	-0.347524	3479.000000
6	1137320	-1	3333	0	346201	258017.020362	4.407926	4.407926	5	-0.140853	3483.000000
7	1309776	-1	5279	0	346201	944733.941805	1.386397	1.386397	5	0.934073	3484.000000
8	3443080	-1	4240	2	877192	787533.317479	4.371980	4.371980	5	0.934073	3488.000000
9	3371688	-1	4004	2	877192	944665.072240	3.569189	3.569189	5	0.969475	3491.000000
10	3203280	-1	4020	2	877192	965616.863140	3.317341	3.317341	5	0.969475	3494.000000
11	3534640	-1	3333	2	877192	683886.415751	5.168461	5.168461	5	-0.178892	3499.000000
12	1101408	-1	5362	0	346201	844948.082434	1.303522	1.303522	5	0.898671	3500.000000
13	2836440	-1	5687	2	877192	943008.910066	3.007861	3.007861	5	0.934073	3503.000000
14	2651768	-1	6448	2	877192	1030784.682429	2.572572	2.572572	5	0.969475	3505.000000
15	2762368	-1	6407	2	877192	818926.621409	3.373157	3.373157	5	0.969475	3508.000000
16	2784784	-1	4308	2	877192	512582.802372	5.432847	5.432847	5	0.969475	3513.000000
17	1838688	-1	5952	1	544244	1088790.115159	1.688744	1.688744	5	0.943182	3514.000000
18	1899904	-1	7275	1	544244	945414.540185	2.009599	2.009599	5	0.956328	3516.000000
19	1890640	-1	7613	1	544244	631293.366442	2.994868	2.994868	5	0.956328	3518.000000
20	1758552	-1	6294	1	544244	377971.045293	4.652610	4.652610	5	0.956328	3522.000000
21	1958048	-1	5190	1	544244	441343.523415	4.436562	4.436562	5	0.956328	3526.000000
22	1799776	-1	5171	1	544244	536828.163518	3.352611	3.352611	5	0.956328	3529.000000
23	1187672	-1	6203	0	346201	516297.133007	2.300365	2.300365	5	0.911818	3531.000000
24	1081552	-1	4402	0	346201	210668.837666	5.133896	5.133896	5	0.934073	3536.000000
25	903968	-1	6058	0	346201	538913.707924	1.677389	1.677389	5	0.934073	3537.000000
26	733440	-1	8453	0	346201	781988.118810	0.937917	0.937917	5	0.934073	3537.000000
27	1106384	-1	10427	0	346201	813865.840617	1.359418	1.359418	5	0.934073	3538.000000
28	1198016	-1	12400	0	346201	881240.570651	1.359465	1.359465	5	0.934073	3539.000000
29	1222808	-1	14339	0	346201	877355.042754	1.393744	1.393744	5	0.934073	3540.000000
30	1911016	-1	15774	1	544244	1006797.956021	1.898113	1.898113	5	0.934073	3541.000000
31	1808632	-1	17006	1	544244	860907.004495	2.100845	2.100845	5	0.956328	3543.000000
32	2833784	-1	15468	2	877192	581699.616921	4.871559	4.871559	5	0.956328	3547.000000
33	1702552	-1	17019	1	544244	955376.580797	1.782074	1.782074	5	0.943182	3548.000000
34	1721648	-1	18215	1	544244	805679.387880	2.136890	2.136890	5	0.956328	3550.000000
35	1728712	-1	19961	1	544244	1089677.862023	1.586443	1.586443	5	0.956328	3551.000000
36	1755656	-1	22003	1	544244	1359203.958574	1.291680	1.291680	5	0.956328	3552.000000
37	3011856	-1	22882	2	877192	1227613.418402	2.453424	2.453424	5	0.956328	3554.000000
38	2981568	-1	24099	2	877192	1408540.283073	2.116779	2.116779	5	0.969475	3556.000000
39	2659200	-1	25607	2	877192	1457242.173956	1.824817	1.824817	5	0.969475	3557.000000
40	2775464	-1	26819	2	877192	1308510.826057	2.121086	2.121086	5	0.969475	3559.000000
41	2785672	-1	27908	2	877192	1332033.132857	2.091293	2.091293	5	0.969475	3561.000000
42	2698328	-1	27951	2	877192	1317262.059601	2.048437	2.048437	5	0.969475	3563.000000
43	2798976	-1	28383	2	877192	1731094.437647	1.616882	1.616882	5	0.969475	3564.000000
44	2894752	-1	28174	2	877192	1585495.656749	1.825771	1.825771	5	0.969475	3565.000000
45	2980056	-1	28320	2	877192	1774397.829472	1.679475	1.679475	5	0.969475	3566.000000
46	3099576	-1	28145	2	877192	1671598.461010	1.854259	1.854259	5	0.969475	3567.000000
47	5318528	-1	25088	3	1581507	1082950.623170	4.911145	4.911145	5	0.969475	3571.000000
48	3523736	-1	25835	2	877192	1362649.214551	2.585945	2.585945	5	0.957128	3573.000000
49	3531872	-1	26526	2	877192	1336725.017357	2.642183	2.642183	5	0.969475	3575.000000
50	3114312	-1	26201	2	877192	851277.446521	3.658398	3.658398	5	0.969475	3578.000000
51	2715520	-1	25468	2	877192	667883.120098	4.065861	4.065861	5	0.969475	3582.000000
52	2497432	-1	24521	2	877192	583548.195811	4.279736	4.279736	5	0.969475	3586.000000
53	1761824	-1	25558	1	544244	767142.419713	2.296606	2.296606	5	0.943182	3588.000000
54	1915448	-1	26620	1	544244	843412.775809	2.271068	2.271068	5	0.956328	3590.000000
55	1834624	-1	26455	1	544244	524509.632327	3.497789	3.497789	5	0.956328	3593.000000
56	1843760	-1	25877	1	544244	471490.201154	3.910495	3.910495	5	0.956328	3596.000000
57	1822400	-1	26062	1	544244	578801.010322	3.148578	3.148578	5	0.956328	3599.000000
58	2082384	-1	26303	1	544244	673439.855660	3.092160	3.092160	5	0.956328	3602.000000
