segNum	size	Hit	buffer	bIndex	bitrate	throughput	downloadT	rebufferT	vtype	qoe	time
1	1018000	-1	4171	0	350900	1402928.155340	0.725625	0.725625	2	-0.072563	1717.000000
2	3165136	-1	8342	2	941007	1288531.503765	2.456390	2.456390	2	0.744423	1719.000000
3	3455488	-1	8253	2	941007	811184.338888	4.259806	4.259806	2	0.996167	1723.000000
4	2622928	-1	9750	2	941007	980900.218413	2.674001	2.674001	2	0.996167	1725.000000
5	3720008	-1	11079	2	941007	1309278.091317	2.841267	2.841267	2	0.996167	1727.000000
6	3614272	-1	12537	2	941007	1332122.061436	2.713169	2.713169	2	0.996167	1729.000000
7	2664504	-1	13713	2	941007	889719.512994	2.994769	2.994769	2	0.996167	1731.000000
8	3000944	-1	14394	2	941007	859727.855083	3.490574	3.490574	2	0.996167	1734.000000
9	4122528	-1	14661	2	941007	1055967.339105	3.904030	3.904030	2	0.996167	1737.000000
10	4185760	-1	15397	2	941007	1218560.497664	3.435004	3.435004	2	0.996167	1740.000000
11	3691136	-1	16038	2	941007	1045716.389870	3.529768	3.529768	2	0.996167	1743.000000
12	4223608	-1	14962	2	941007	804922.266922	5.247225	5.247225	2	0.996167	1748.000000
13	3937216	-1	14925	2	941007	935618.934906	4.208141	4.208141	2	0.996167	1752.000000
14	3862440	-1	13794	2	941007	728501.789812	5.301895	5.301895	2	0.996167	1757.000000
15	2481208	-1	14097	1	582626	641461.010394	3.868057	3.868057	2	0.991969	1760.000000
16	2484680	-1	15729	1	582626	978799.844690	2.538497	2.538497	2	0.994068	1762.000000
17	2617344	-1	17250	1	582626	987581.932752	2.650255	2.650255	2	0.994068	1764.000000
18	2419640	-1	18781	1	582626	916664.919272	2.639612	2.639612	2	0.994068	1766.000000
19	2543664	-1	20054	1	582626	877685.010547	2.898151	2.898151	2	0.994068	1768.000000
20	2327576	-1	22010	1	582626	1050641.636263	2.215385	2.215385	2	0.994068	1770.000000
21	3995040	-1	22122	2	941007	984371.528291	4.058468	4.058468	2	0.994068	1774.000000
22	4056864	-1	22232	2	941007	998942.911849	4.061157	4.061157	2	0.996167	1778.000000
23	4036296	-1	22710	2	941007	1092842.337697	3.693393	3.693393	2	0.996167	1781.000000
24	4115496	-1	22778	2	941007	1003174.107093	4.102474	4.102474	2	0.996167	1785.000000
25	3973112	-1	21195	2	941007	690421.483765	5.754618	5.754618	2	0.996167	1790.000000
26	2422672	-1	22550	1	582626	860313.085695	2.816035	2.816035	2	0.991969	1792.000000
27	2572104	-1	24010	1	582626	948934.771982	2.710517	2.710517	2	0.994068	1794.000000
