time,segment_num,segment_size,hit,buffer_size,bitrate,throughput,download_time,QoE
1.956037,1,93308,0,4171,298061,381629.003815,1.955994,-5867.981672
4.476676,2,185484,0,8342,298061,588704.425339,2.520572,-7270.716557
6.914357,3,185745,0,12513,298061,609595.338922,2.437617,-7021.851191
9.519238,4,235878,0,14085,491619,724528.905195,2.604484,291.000000
13.701805,5,235213,0,14076,491619,449899.765145,4.182496,480.000000
16.505708,6,184546,0,15440,491619,526553.246283,2.803834,480.000000
18.885406,7,126168,0,17227,491619,424160.765121,2.379626,480.000000
21.907913,8,311937,0,18379,491619,825658.058174,3.022433,480.000000
24.931706,9,285942,0,19530,491619,756530.360059,3.023720,480.000000
28.077055,10,292376,0,20549,491619,743657.455883,3.145276,480.000000
31.098857,11,289639,0,21706,491619,766816.071319,3.021731,480.000000
34.519861,12,301645,0,22456,491619,705409.650907,3.420934,480.000000
37.784241,13,276153,0,23355,491619,676781.483124,3.264309,480.000000
40.854476,14,267114,0,24459,491619,696025.096535,3.070165,480.000000
44.329168,15,288301,0,25155,491619,663786.917142,3.474621,480.000000
50.347257,16,291821,0,23313,491619,387929.774742,6.018017,480.000000
53.353225,17,274353,0,24480,491619,730173.929070,3.005892,480.000000
55.993508,18,251854,0,26004,491619,763133.191774,2.640210,480.000000
67.855594,19,248192,0,18309,491619,169834.878613,11.690979,480.000000
70.324933,20,157552,0,20015,298061,510441.774415,2.469265,102.000000
76.020190,21,194119,0,18493,298061,272677.914687,5.695188,291.000000
87.851316,22,194350,0,10827,298061,131416.839248,11.831056,291.000000
90.215615,23,133890,0,12633,298061,453052.566556,2.364229,291.000000
93.653744,24,155767,0,13373,298061,362453.565966,3.438057,291.000000
96.174721,25,165743,0,15017,298061,525979.356862,2.520905,291.000000
98.613254,26,163956,0,16751,298061,537900.598808,2.438458,291.000000
103.318879,27,35507,0,16213,298061,60366.099702,4.705555,291.000000
startupLatency,6.91449403763
totalRebufferTime,0
